NAME	LAT	LNG	CAPACITY	LANGUAGES
Granja Camps Elisis	42.540705	1.733794	100	CA,ES,FR,EN,RU,PT
Vodka Bar	42.531712	1.698895	26	CA,ES,FR,EN
Apartaments Turistics Manzano	42.541266	1.730834		CA,ES,FR,EN
El Piolet	42.52582	1.698304	180	CA,ES,FR,EN
Burguer King	42.54139	1.732289		
L'Oregon	42.542441	1.734434		CA,ES,FR,EN
Cubil	42.532069	1.695909	58	CA,ES,FR,EN
Cal Ruiz	42.544007	1.733329		CA,ES,FR,EN,PT
Gino'S Pizzeria	42.543752	1.732158	60	CA,ES,FR,EN,PT
Babot	42.555038	1.540418	100	CA,ES,FR,EN,PT
Bar Armengol Casa Leon	42.556722	1.533226		CA,ES,FR,EN,RU
Antic	42.58032	1.518885	90	CA,ES,FR,EN,PT,DE
Topic	42.556511	1.534575	140	CA,ES,FR,EN,PT
Hotel Coma	42.555887	1.535333	120	CA,ES,FR,EN,PT
Font Blanca	42.576877	1.517158	55	CA,ES,FR,EN,RU,1
Hotel Gaspa	42.550891	1.526034	90	CA,ES,FR,EN,PT,AR
Santa Barbara	42.556876	1.533574	40	CA,ES,FR,EN
Camping Borda D'Ansalonga	42.568289	1.521907	40	
Arrosseria Marisqueria II	42.555629	1.533467	60	CA,ES,FR,EN,PT
Cal Tonet	42.573097	1.518705	50	CA,ES,FR
Niu Nit	42.61656	1.538343	70	CA,ES,FR,EN,PT
Sucara	42.574139	1.518471	50	CA,ES,FR,PT
Arans	42.582182	1.518978	45	CA,ES,FR,PT
L'Era D'En Jaume	42.596366	1.526912	70	
El Raco Del Prat De Les Mines	42.601631	1.534695	36	CA,ES,FR,EN
Pizzeria Coll D'Ordino	42.554074	1.533532	53	CA,ES,FR,EN
La Font D'Arans	42.58232	1.519289		CA,ES,FR,EN
La Coma D'Arcalis	42.631982	1.481771	200	CA,ES,FR,EN
Pradet	42.619096	1.538811		
Bringue	42.618723	1.539245		CA,ES,FR,EN
Xalet Bringue	42.61982	1.540039	90	CA,ES,FR,EN
La Cabana	42.552862	1.533156	50	CA,ES,FR,EN
Braseria La Neu 	42.60023	1.532078	45	CA,ES,FR,EN,RU,PT
L'Hortell	42.631851	1.499709	100	CA,ES,FR,EN
Refugi Les Portelles	42.618265	1.485945	87	CA,ES,FR,EN
Restaurant L'Ensegur	42.555655	1.533073	30	CA,ES,FR,EN
Cal Mos	42.545832	1.514513	40	CA,ES,FR,EN,PT
La Capricciosa	42.542459	1.517305	15	CA,ES,EN,IT
Polar Base Restaurant	42.574801	1.481846	50	CA,ES,EN
Polar Bar Restaurant	42.567147	1.476674	100	CA,ES,FR,EN,PT
Erts	42.561651	1.497772	60	CA,ES,FR,EN
Cerro Otto	42.56984	1.487614	48	CA,ES,FR
El Raco De La Fina	42.547239	1.514697	75	CA,ES,FR,EN,PT
Versio Original	42.544765	1.514955	30	CA,ES,FR,EN
Casino	42.540082	1.519235	80	CA,ES,FR,PT
Taverna Comapedrosa / Comapedrosa	42.571924	1.483629	30	CA,ES,FR,EN
Sagardotegui-Pub Herri	42.573826	1.482883	60	
L'Hort De Casa	42.561838	1.496402	50	CA,ES,FR,EN
Cal Silvino	42.545994	1.517057	65	CA,ES,FR,PT
Borda Xica	42.544883	1.513736	20	CA,ES,FR
Abba Xalet Suites Hotel	42.532591	1.518441	150	CA,ES,FR,EN,PT
Istambul Kebab Pizzeria	42.545472	1.514905		CA,ES,FR,EN,PT
Pizzeria Angelo	42.507983	1.534337	100	CA,ES,FR,EN,RU,PT
Pla De La Cot Ski Lounge	42.530376	1.47359	300	CA,ES,FR,EN,RU,PT
RÏstic	42.536062	1.491555	250	CA,ES,FR,EN,RU,PT
La Taverna De Pal	42.536206	1.49175	80	CA,ES,FR,EN,RU,PT
Self Service (Arinsal)	42.573074	1.47071	400	CA,ES,FR,EN
Self Service (Pal)	42.536177	1.49161	220	CA,ES,FR,EN,RU,PT
Emo - Hotel Palom_	42.565187	1.490855	60	CA,ES,FR,EN,PT
Borda De L'Avi	42.551515	1.510363	200	CA,ES,FR,EN,PT
L'Eulari De Pal	42.534937	1.524735	55	CA,ES,FR,PT
Borda Can Toni	42.53797	1.519395	20	CA,ES,FR,PT
Bonet	42.545523	1.476452	30	CA,ES,FR,PT,IT
Hostal Palanques	42.545761	1.514418		CA,ES,FR,EN
La Torrada	42.553057	1.487929	40	
Rutllan	42.547378	1.513238	200	CA,ES,FR,EN,PT
Del Bisset	42.5429	1.523355		CA,ES,FR
Delizioso	42.532971	1.524096	80	CA,ES,FR,EN,PT
Borda Raubert	42.559281	1.503268	80	CA,ES,EN,PT
Pampa	42.578165	1.479391	100	CA,ES,FR,EN
Restaurant Xalet - Montane	42.572926	1.48389	65	CA,ES,FR,EN
Deja Vu	42.571914	1.484574	50	CA,ES,EN
Ca la Lydia	42.544467	1.47836	40	CA,ES,FR
Restaurant El Bosc	42.56979	1.487682	60	CA,ES,FR,EN,RU
La Llum D'Oli	42.569071	1.488556	40	CA,ES,FR,EN
Refugi D'Arinsal	42.57421	1.469986		
Restaurant Del Prat Gran	42.548338	1.512991	110	CA,ES,FR,EN,PT
Borda Casa Vella Pales	42.543661	1.523312	50	CA,ES,FR,EN
El Vesuvi	42.54367	1.516758	49	CA,ES,FR
La Cuina d'en Joan 	42.546755	1.514053	35	CA,ES,FR,EN,PT
Diana Parc	42.573961	1.482182	100	CA,ES,FR,EN
Cisco's Pub Restaurant	42.572778	1.483981		CA,ES,FR,EN,RU,PT,IT
El Moli De La Placa	42.572597	1.483995	45	CA,ES,FR,EN
Surf	42.572456	1.48301	80	CA,ES,FR,EN,PT
Xalet VerdÏ	42.574907	1.481967		CA,ES,FR,EN
Restaurant 360_	42.573389	1.483114	50	CA,ES,FR,EN,PT
Marco Polo	42.542618	1.516964	180	CA,ES,FR,EN
Borda D'Erts	42.561817	1.496243	55	
