Lat,Lon
42.565819,1.597529
42.575878,1.670183
42.568467,1.643345
42.582664,1.662712
42.565977,1.566067
42.5675,1.601269
42.566501,1.600053
42.580575,1.640753
42.574299,1.620532
42.566329,1.598071
42.566139,1.59835
42.576944,1.666526
42.578793,1.649998
42.572907,1.483916
42.578119,1.648361
42.576831,1.666104
42.579037,1.658769
42.560438,1.682079
42.580973,1.663871
42.577215,1.666269
42.577175,1.666113
42.575867,1.669719
42.579031,1.649518
42.544102,1.73466
42.553602,1.590453
42.578208,1.64619
42.577226,1.665361
42.576897,1.667068
42.565852,1.597959
42.565872,1.598074
42.575617,1.670887
42.576731,1.667105
42.553883,1.590266
42.559522,1.685831
42.579005,1.641378
42.567835,1.602384
42.56593,1.601536
42.565811,1.59739
42.577213,1.647906
42.576966,1.667457
42.566261,1.598771
42.567491,1.641342
42.536501,1.583169
42.534864,1.580288
42.533489,1.579902
42.536265,1.583022
42.535896,1.581838
42.533943,1.580331
42.536339,1.582332
42.535706,1.583233
42.533133,1.579092
42.537026,1.582278
42.535188,1.584949
42.534418,1.582847
42.534481,1.583163
42.534888,1.579188
42.534682,1.580105
42.534443,1.528782
42.534597,1.587114
42.535604,1.587378
42.521617,1.571345
42.531893,1.57362
42.532212,1.573877
42.533848,1.587986
42.533863,1.58024
42.536398,1.582723
42.541226,1.732554
42.541819,1.731825
42.531777,1.698922
42.531777,1.698922
42.531777,1.698922
42.543509,1.732031
42.542145,1.732342
42.543161,1.731833
42.532118,1.695904
42.539465,1.733442
42.539198,1.733319
42.543192,1.734177
42.540683,1.731697
42.541683,1.732036
42.542347,1.734306
42.539477,1.73349
42.539169,1.733372
42.540924,1.733651
42.540883,1.733738
42.543461,1.732138
42.543374,1.731741
42.541829,1.733308
42.54339,1.732728
42.542916,1.733683
42.542046,1.731709
42.54071,1.733775
42.573436,1.477747
42.543173,1.731854
42.542951,1.735008
42.540705,1.733794
42.531712,1.698895
42.541266,1.730834
42.52582,1.698304
42.54139,1.732289
42.542441,1.734434
42.532069,1.695909
42.544007,1.733329
42.543752,1.732158
42.555038,1.540418
42.556722,1.533226
42.58032,1.518885
42.556511,1.534575
42.555887,1.535333
42.576877,1.517158
42.550891,1.526034
42.556876,1.533574
42.568289,1.521907
42.555629,1.533467
42.573097,1.518705
42.61656,1.538343
42.574139,1.518471
42.582182,1.518978
42.596366,1.526912
42.601631,1.534695
42.554074,1.533532
42.58232,1.519289
42.631982,1.481771
42.619096,1.538811
42.618723,1.539245
42.61982,1.540039
42.552862,1.533156
42.60023,1.532078
42.631851,1.499709
42.618265,1.485945
42.555655,1.533073
42.545832,1.514513
42.542459,1.517305
42.574801,1.481846
42.567147,1.476674
42.561651,1.497772
42.56984,1.487614
42.547239,1.514697
42.544765,1.514955
42.540082,1.519235
42.571924,1.483629
42.573826,1.482883
42.561838,1.496402
42.545994,1.517057
42.544883,1.513736
42.532591,1.518441
42.545472,1.514905
42.507983,1.534337
42.530376,1.47359
42.536062,1.491555
42.536206,1.49175
42.573074,1.47071
42.536177,1.49161
42.565187,1.490855
42.551515,1.510363
42.534937,1.524735
42.53797,1.519395
42.545523,1.476452
42.545761,1.514418
42.553057,1.487929
42.547378,1.513238
42.5429,1.523355
42.532971,1.524096
42.559281,1.503268
42.578165,1.479391
42.572926,1.48389
42.571914,1.484574
42.544467,1.47836
42.56979,1.487682
42.569071,1.488556
42.57421,1.469986
42.548338,1.512991
42.543661,1.523312
42.54367,1.516758
42.546755,1.514053
42.573961,1.482182
42.572778,1.483981
42.572597,1.483995
42.572456,1.48301
42.574907,1.481967
42.573389,1.483114
42.542618,1.516964
42.561817,1.496243
42.573337,1.483382
42.536143,1.516434
42.533315,1.516312
42.561501,1.497488
42.496096,1.502635
42.510045,1.531635
42.507826,1.521954
42.494932,1.497703
42.500946,1.519072
42.50701,1.531788
42.506896,1.521099
42.508734,1.532335
42.506433,1.516054
42.505165,1.51842
42.500334,1.508026
