"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"331","391178831","NULL","NULL","steps","0","0","NULL"
"332","391178832","NULL","NULL","pedestrian","0","0","NULL"
"333","399371625","Carretera dels Vilars","NULL","residential","0","1","NULL"
"334","399371626","Carretera dels Vilars","NULL","residential","0","0","NULL"
"335","399371627","Carrer de Coll de Jou","NULL","residential","0","1","50"
"336","399371628","Carrer de Coll de Jou","NULL","residential","0","0","50"
"337","399371630","Carrer de Can Diumenge","NULL","residential","0","0","NULL"
"338","399371631","Carrer de Can Diumenge","NULL","residential","0","1","NULL"
"339","399371632","Carrer de Roca Corba","NULL","residential","0","0","NULL"
"340","399371633","Carrer de Roca Corba","NULL","residential","0","1","NULL"
"341","399371634","Carrer de Can Diumenge","NULL","residential","0","1","NULL"
"342","399371635","Carrer de Can Diumenge","NULL","residential","0","0","NULL"
"343","406759632","Carretera dels Vilars","NULL","residential","1","0","NULL"
"344","406759633","Carretera dels Vilars","NULL","residential","0","0","NULL"
"345","1111111","Carrer del Pico","NULL","residential","1","0","30"
"346","1232343","Carrer Sant Antoni","NULL","residential","1","0","30"
