"shapeid","x","y"
"0","1.54241671212","42.511943879"
"0","1.55891660109","42.518333402"
"0","1.58058337204","42.532695701"
"0","1.59002789103","42.542720828"
"0","1.59424996202","42.5535011989"
"0","1.59066671103","42.5626372699"
"0","1.58888897703","42.5671386829"
"0","1.59141666302","42.5706673129"
"0","1.605194385","42.5776673059"
"0","1.61994451197","42.5820846139"
"0","1.65263886591","42.5877761599"
"0","1.6604167829","42.5891380939"
"0","1.66127767789","42.5876121079"
"0","1.66461107089","42.5817795679"
"0","1.68386109885","42.5615845399"
"0","1.69633320883","42.547748606"
"0","1.71561101979","42.545223188"
"0","1.72277771078","42.548473421"
"0","1.73227779576","42.547443371"
"0","1.73479187376","42.548696252"
"1","1.56393058208","42.6507605988"
"1","1.56386121908","42.6418609668"
"1","1.55902773308","42.6343039908"
"1","1.53644450113","42.6182784918"
"1","1.52913889514","42.6130828818"
"1","1.52169437415","42.6040840248"
"1","1.51677772816","42.5896682389"
"1","1.51705555816","42.5806960309"
"1","1.52236116615","42.5689162279"
"1","1.52233338315","42.5629462849"
"1","1.51933338616","42.5559462919"
"1","1.51374994817","42.542999225"
"1","1.51497221117","42.536945366"
"1","1.51855546216","42.532611785"
"1","1.52286107115","42.530529005"
"1","1.52888884814","42.527637494"
"1","1.54094440212","42.513637508"
"1","1.54241671212","42.511943879"
"2","1.54241671212","42.511943879"
"2","1.53227780713","42.506778698"
"2","1.52388885315","42.506584217"
"2","1.51263900617","42.502861106"
"2","1.50600000318","42.49841696"
"2","1.50591665418","42.498306206"
"2","1.4983611902","42.4876099401"
"2","1.48688889022","42.4549713411"
"2","1.47574998624","42.4386099892"
"2","1.47483333624","42.4372786732"
"2","1.47426973824","42.4353181762"
