country,date,hour,origin_lat,origin_lon,origin_container,destination_lat,destination_lon,destination_container,amount
fr,6/2/14,3,42.54527778,1.730555556,6,42.54388889,1.730555556,6,1
fr,6/2/14,3,42.54388889,1.730555556,6,42.54388889,1.730555556,6,9
fr,6/2/14,3,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
fr,6/2/14,3,42.55277778,1.533611111,2,42.55277778,1.533611111,2,1
fr,6/2/14,4,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,4,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,6/2/14,4,42.50833333,1.523611111,0,42.5075,1.522777778,0,1
fr,6/2/14,4,42.50722222,1.538055556,0,42.50722222,1.538055556,0,7
fr,6/2/14,4,42.54388889,1.730555556,6,42.54388889,1.730555556,6,1
fr,6/2/14,4,42.50611111,1.520833333,0,42.50722222,1.538055556,0,1
fr,6/2/14,4,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,6/2/14,4,42.54666667,1.563611111,4,42.53194444,1.562777778,4,1
fr,6/2/14,4,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,4,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,4,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,6/2/14,4,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,6/2/14,5,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,5,42.53444444,1.58,4,42.53444444,1.58,4,1
fr,6/2/14,5,42.55277778,1.533611111,2,42.55277778,1.533611111,2,5
fr,6/2/14,5,42.53638889,1.516111111,2,42.53638889,1.516111111,2,5
fr,6/2/14,5,42.54388889,1.730555556,6,42.54388889,1.730555556,6,4
fr,6/2/14,5,42.62111111,1.538333333,3,42.62111111,1.538333333,3,1
fr,6/2/14,5,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,6/2/14,5,42.50777778,1.5325,0,42.50777778,1.5325,0,1
fr,6/2/14,5,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
fr,6/2/14,5,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,6/2/14,5,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,6/2/14,5,42.5525,1.514444444,2,42.5525,1.514444444,2,14
fr,6/2/14,5,42.5525,1.514444444,2,42.53638889,1.516111111,2,1
fr,6/2/14,5,42.53638889,1.516111111,2,42.5525,1.514444444,2,2
fr,6/2/14,5,42.53638889,1.516111111,2,42.53638889,1.516111111,2,8
fr,6/2/14,5,42.57555556,1.670277778,5,42.57555556,1.670277778,5,1
fr,6/2/14,5,42.535,1.716388889,6,42.535,1.716388889,6,1
fr,6/2/14,5,42.535,1.5875,4,42.535,1.5875,4,1
fr,6/2/14,5,42.55277778,1.533611111,2,42.55277778,1.533611111,2,1
fr,6/2/14,5,42.55277778,1.533611111,2,42.55277778,1.533611111,2,2
fr,6/2/14,5,42.50611111,1.520833333,0,42.50611111,1.520833333,0,1
fr,6/2/14,6,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,6/2/14,6,42.46027778,1.491111111,1,42.47416667,1.505555556,1,1
fr,6/2/14,6,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,6/2/14,6,42.46027778,1.491111111,1,42.46027778,1.491111111,1,1
fr,6/2/14,6,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,6,42.49666667,1.5125,0,42.49666667,1.5125,0,3
fr,6/2/14,6,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
fr,6/2/14,6,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
fr,6/2/14,6,42.50722222,1.538055556,0,42.50722222,1.538055556,0,19
fr,6/2/14,6,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,6/2/14,6,42.53638889,1.516111111,2,42.53638889,1.516111111,2,1
fr,6/2/14,6,42.55722222,1.497777778,2,42.55722222,1.497777778,2,1
fr,6/2/14,6,42.54388889,1.730555556,6,42.54388889,1.730555556,6,4
fr,6/2/14,6,42.54694444,1.698611111,6,42.54694444,1.698611111,6,1
fr,6/2/14,6,42.54694444,1.698611111,6,42.53277778,1.7,6,1
fr,6/2/14,6,42.535,1.5875,4,42.535,1.5875,4,1
fr,6/2/14,6,42.57722222,1.662777778,5,42.57722222,1.662777778,5,1
fr,6/2/14,6,42.47416667,1.505555556,1,42.47416667,1.505555556,1,5
fr,6/2/14,6,42.53277778,1.7,6,42.57722222,1.662777778,5,1
fr,6/2/14,6,42.53277778,1.7,6,42.53277778,1.7,6,3
fr,6/2/14,6,42.46694444,1.491111111,1,42.46694444,1.491111111,1,1
fr,6/2/14,6,42.46694444,1.491111111,1,42.50611111,1.520833333,0,1
fr,6/2/14,6,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,6/2/14,6,42.49666667,1.5125,0,42.49666667,1.5125,0,3
fr,6/2/14,6,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,6/2/14,6,42.51083333,1.540277778,0,42.50083333,1.531111111,0,1
fr,6/2/14,6,42.50833333,1.523611111,0,42.50833333,1.523611111,0,5
fr,6/2/14,6,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
fr,6/2/14,6,42.50833333,1.523611111,0,42.50611111,1.520833333,0,1
fr,6/2/14,6,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
fr,6/2/14,6,42.55277778,1.533611111,2,42.55277778,1.533611111,2,9
fr,6/2/14,6,42.5525,1.514444444,2,42.55722222,1.497777778,2,1
fr,6/2/14,6,42.53638889,1.516111111,2,42.53638889,1.516111111,2,8
fr,6/2/14,6,42.535,1.5875,4,42.535,1.5875,4,1
fr,6/2/14,6,42.54388889,1.730555556,6,42.54388889,1.730555556,6,5
fr,6/2/14,6,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,6,42.50777778,1.5325,0,42.51138889,1.530555556,0,1
fr,6/2/14,6,42.50777778,1.5325,0,42.50722222,1.538055556,0,1
fr,6/2/14,6,42.56611111,1.5975,4,42.56611111,1.5975,4,2
fr,6/2/14,7,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,7,42.49666667,1.5125,0,42.49666667,1.5125,0,1
fr,6/2/14,7,42.50833333,1.523611111,0,42.50833333,1.523611111,0,3
fr,6/2/14,7,42.50833333,1.523611111,0,42.50833333,1.523611111,0,4
fr,6/2/14,7,42.53444444,1.58,4,42.53444444,1.58,4,1
fr,6/2/14,7,42.56611111,1.5975,4,42.56611111,1.5975,4,2
fr,6/2/14,7,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,6/2/14,7,42.50722222,1.538055556,0,42.50722222,1.538055556,0,3
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,6
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,6/2/14,7,42.54444444,1.516944444,2,42.53638889,1.516111111,2,1
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,3
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
fr,6/2/14,7,42.53638889,1.516111111,2,42.54444444,1.516944444,2,1
fr,6/2/14,7,42.53638889,1.516111111,2,42.53638889,1.516111111,2,2
fr,6/2/14,7,42.53638889,1.516111111,2,42.54444444,1.516944444,2,1
fr,6/2/14,7,42.53638889,1.516111111,2,42.53638889,1.516111111,2,1
fr,6/2/14,7,42.55722222,1.497777778,2,42.55722222,1.497777778,2,2
fr,6/2/14,7,42.57916667,1.639166667,5,42.57916667,1.639166667,5,5
fr,6/2/14,7,42.54388889,1.730555556,6,42.54388889,1.730555556,6,30
fr,6/2/14,7,42.54388889,1.730555556,6,42.54388889,1.730555556,6,1
fr,6/2/14,7,42.55361111,1.588888889,4,42.55361111,1.588888889,4,3
fr,6/2/14,7,42.56444444,1.526944444,3,42.56444444,1.526944444,3,4
fr,6/2/14,7,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,6/2/14,7,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,6/2/14,7,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
fr,6/2/14,7,42.50611111,1.520833333,0,42.50833333,1.523611111,0,1
fr,6/2/14,7,42.50611111,1.520833333,0,42.50611111,1.520833333,0,2
fr,6/2/14,7,42.51972222,1.557222222,4,42.51972222,1.557222222,4,1
fr,6/2/14,7,42.51972222,1.557222222,4,42.525,1.536111111,2,1
fr,6/2/14,7,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,6/2/14,7,42.51083333,1.540277778,0,42.51083333,1.540277778,0,6
fr,6/2/14,7,42.50722222,1.538055556,0,42.50722222,1.538055556,0,2
fr,6/2/14,7,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,6/2/14,7,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
fr,6/2/14,7,42.49666667,1.5125,0,42.49666667,1.5125,0,11
fr,6/2/14,7,42.50611111,1.520833333,0,42.50722222,1.538055556,0,1
fr,6/2/14,7,42.50611111,1.520833333,0,42.49666667,1.5125,0,1
fr,6/2/14,7,42.50611111,1.520833333,0,42.50611111,1.520833333,0,2
fr,6/2/14,7,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
fr,6/2/14,7,42.50833333,1.523611111,0,42.50833333,1.523611111,0,5
fr,6/2/14,7,42.50083333,1.531111111,0,42.50777778,1.5325,0,1
fr,6/2/14,7,42.50083333,1.531111111,0,42.50083333,1.531111111,0,1
fr,6/2/14,7,42.54444444,1.516944444,2,42.54444444,1.516944444,2,4
