XCoord,YCoord,AFFILIATION,AREA,GEOCODE,COMMUTE_TYPE,FIPS,DIST_TO_MIT_KM
-71.13211507,42.39301424,SUP,EVP,OFF_CAMPUS,WLK_PUB,2.50174E+11,5.739783509
-71.11294663,42.36660836,OTA,SCI,OFF_CAMPUS,UNK,2.50174E+11,2.171007549
-71.10948937,42.36199308,OTA,HAS,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.763787053
-71.09938514,42.36504382,OTA,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,0.570497567
-71.27596032,42.52409066,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,24.92339737
-71.16066469,42.38813975,SER,DSL,OFF_CAMPUS,WLK_PUB,2.50174E+11,8.2434797
-70.91207333,42.4813846,RES,WHTKR,OFF_CAMPUS,DRV,2.50092E+11,24.82182848
-71.0483968,42.31475017,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.50251E+11,6.961074547
-71.4097224,42.48355795,SUP,LL,OFF_CAMPUS,UNK,2.50174E+11,37.61906418
-71.01480156,42.27644705,SER,DF,OFF_CAMPUS,DRV,2.50214E+11,13.06818871
-71.03382181,42.43195762,ADM,VPF,OFF_CAMPUS,CRP2,2.50173E+11,10.71717833
-71.58702877,42.85881885,RES,LL,OFF_CAMPUS,UNK,3.3011E+11,78.3649443
-71.08430195,42.37263716,OTA,ENG,OFF_CAMPUS,DRV_PUB,2.50174E+11,1.729924277
-71.10048267,42.39665167,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50173E+11,4.429324832
-71.1114676,42.36900486,RES,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.073895226
-71.38521793,42.58947331,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,42.07577161
-71.09652726,42.38715974,SUP,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.887391706
-71.10676072,42.37308997,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.945152459
-71.08204371,42.38313952,SUP,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.892127399
-70.53395934,41.88508431,SUP,VPC,OFF_CAMPUS,WLK_PUB,2.50235E+11,80.96621303
-71.09380573,42.58614653,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,24.70450548
-71.10078826,42.37320696,OTA,OPV,OFF_CAMPUS,WLK,2.50174E+11,1.600790279
-71.40774783,42.45781511,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,36.20607346
-71.12101783,42.26286382,SUP,EVP,OFF_CAMPUS,WLK_PUB,2.50251E+11,10.80030803
-70.97498804,42.38524198,OTA,DSL,OFF_CAMPUS,DRV,2.50252E+11,13.54512732
-71.69807022,42.88037212,SER,LL,OFF_CAMPUS,UNK,3.3011E+11,89.13032351
-71.08435301,42.37082157,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.729924277
-71.1038352,42.34102914,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.5025E+11,2.432468138
-71.21815773,42.41495346,RES,WHTKR,OFF_CAMPUS,DRV_HOM,2.50174E+11,16.42824119
-71.22121823,41.95443456,SUP,DSL,OFF_CAMPUS,UNK,2.50056E+11,46.60483174
-71.09305223,42.38407299,SUP,HAS,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.64558092
-71.42858713,42.97722576,RES,LL,OFF_CAMPUS,UNK,3.3011E+11,78.03950816
-71.102661,42.37876149,OTA,ENG,OFF_CAMPUS,UNK,2.50174E+11,2.371040442
-71.03259085,42.43242971,SER,DF,OFF_CAMPUS,DRV,2.50173E+11,10.58787358
-71.14441672,42.13735099,SUP,ENG,OFF_CAMPUS,DRV_PUB,2.50214E+11,24.54191311
-71.11466969,42.3931999,OTA,VPRES,OFF_CAMPUS,DRV_HOM,2.50174E+11,4.326578825
-71.11774153,42.38898329,OTA,SAP,OFF_CAMPUS,UNK,2.50174E+11,4.040692888
-71.3402267,42.65116513,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,42.49454129
-71.15281748,42.37726908,OTA,ENG,OFF_CAMPUS,DRV,2.50174E+11,7.012085298
-71.1191198,42.3964472,RES,LL,OFF_CAMPUS,WLK_PUB,2.50174E+11,5.028567653
-71.06616844,42.41180268,SER,SCI,OFF_CAMPUS,DRV,2.50173E+11,6.647711802
-71.62065004,42.18015913,ADM,VPRES,OFF_CAMPUS,WLK_PUB,2.50277E+11,61.09994225
-71.12550404,42.3346889,FAC,HAS,OFF_CAMPUS,DRV_HOM,2.50214E+11,4.244229803
-71.22137856,42.31310704,ADM,VPF,OFF_CAMPUS,WLK_PUB,2.50174E+11,14.8942007
-71.10236614,42.38718684,ADM,DUE,OFF_CAMPUS,DRV_PUB,2.50174E+11,3.286159004
-71.1923754,42.38722142,ADM,OPV,OFF_CAMPUS,DRV,2.50174E+11,11.49671791
-70.86177779,42.49291448,OTA,HAS,OFF_CAMPUS,DRV,2.50092E+11,32.03128312
-71.49794797,42.38107576,OTA,ENG,OFF_CAMPUS,DRV,2.50173E+11,45.25160472
-71.38357746,42.643531,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,45.28638377
-71.0450891,42.03856025,ADM,AAA,OFF_CAMPUS,DRV_HOM,2.50235E+11,36.45805095
-71.08639393,42.37101407,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.729924277
-72.59748103,42.31428252,OTA,HAS,OFF_CAMPUS,DRV_PUB,2.50158E+11,169.4616898
-71.46777556,42.38311603,FAC,ENG,OFF_CAMPUS,DRV,2.50174E+11,40.93699104
-71.08171314,42.37305106,OTA,OPV,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.729924277
-71.76776052,42.5732714,SER,LL,OFF_CAMPUS,UNK,2.50277E+11,78.20486775
-71.11326464,42.37611333,ADM,VPRD,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.747833106
-71.15466085,42.39180913,ADM,SAP,OFF_CAMPUS,DRV_HOM,2.50174E+11,7.135838589
-71.21586341,42.35587122,OTA,HAS,OFF_CAMPUS,UNK,2.50174E+11,13.90758555
-71.20907199,42.40139932,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,13.90413895
-71.25712753,42.53342391,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,26.62866758
-71.10167395,42.33524126,SUP,ENG,OFF_CAMPUS,WLK_PUB,2.50251E+11,2.865505535
-71.10483233,42.37410148,SUP,APA,OFF_CAMPUS,UNK,2.50174E+11,1.945152459
-70.95983903,42.73423006,ADM,SSM,OFF_CAMPUS,DRV_PUB,2.50093E+11,43.63691451
-73.96842458,40.75649363,OTA,ENG,OFF_CAMPUS,UNK,3.6061E+11,365.8753174
-71.11114516,42.40483642,SER,SCI,OFF_CAMPUS,DRV,2.50173E+11,5.554051293
-71.10126472,42.33227684,SUP,SCI,OFF_CAMPUS,WLK_PUB,2.50251E+11,3.199678655
-71.13642826,42.48268992,OTA,VPRES,OFF_CAMPUS,UNK,2.50173E+11,14.86066304
-71.04968275,42.45808633,RES,LL,OFF_CAMPUS,WLK_PUB,2.50173E+11,11.7693954
-71.10566494,42.37603076,SUP,VPRD,OFF_CAMPUS,DRV,2.50174E+11,2.325382963
-71.13539411,42.34415157,OTA,HAS,OFF_CAMPUS,UNK,2.50214E+11,4.658972665
-71.0919727,42.42784091,SUP,LL,OFF_CAMPUS,UNK,2.50173E+11,8.017226145
-71.23440299,42.40669643,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,16.96972551
-71.18624076,42.42324356,RES,LL,OFF_CAMPUS,UNK,2.50174E+11,12.69950833
-71.51048774,42.47518714,FAC,ENG,OFF_CAMPUS,DRV,2.50174E+11,47.553529
-71.09057574,42.35974038,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,0.852588261
-71.37587404,42.53241654,ADM,DGE,OFF_CAMPUS,WLK_PUB,2.50174E+11,34.25977797
-71.08222894,42.36889978,OTA,SSM,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.328618643
-71.11816565,42.33313472,OTA,SCI,OFF_CAMPUS,UNK,2.50214E+11,3.733133456
-71.18897119,42.42320657,ADM,SSM,OFF_CAMPUS,DRV_HOM,2.50174E+11,12.69950833
-71.53675633,42.89799527,RES,LL,OFF_CAMPUS,UNK,3.3011E+11,77.62100925
-71.12340669,42.41045248,RES,LL,OFF_CAMPUS,WLK_PUB,2.50173E+11,6.750114745
-71.10260761,42.37875098,FAC,SAP,OFF_CAMPUS,UNK,2.50174E+11,2.371040442
-71.1187505,42.38757172,ADM,DSL,OFF_CAMPUS,WLK_PUB,2.50174E+11,4.045813972
-71.09675235,42.36184712,OTA,ENG,OFF_CAMPUS,UNK,2.50174E+11,0.570497567
-71.01935641,42.52228613,ADM,OTH,OFF_CAMPUS,DRV,2.50092E+11,19.42399042
-71.13326746,42.39925756,RES,LL,OFF_CAMPUS,WLK_PUB,2.50174E+11,6.49082287
-71.11959336,42.39070931,OTA,SCI,OFF_CAMPUS,UNK,2.50174E+11,4.595530081
-71.11485849,42.36011949,FAC,SCI,OFF_CAMPUS,BIC,2.50174E+11,2.202463349
-71.18419091,42.47872464,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,14.6545083
-71.11673376,42.36009313,SUP,VPF,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.202463349
-71.10611313,42.36825637,OTA,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.540750848
-71.10989905,42.35614927,SUP,SCI,OFF_CAMPUS,BIC,2.50174E+11,1.716018229
-73.96082556,40.68553699,SUP,SAP,OFF_CAMPUS,UNK,3.6047E+11,368.9905229
-71.09466049,42.35765993,FAC,ENG,ON_CAMPUS,DRV,2.50174E+11,0.364101878
-71.07299753,42.34624875,ADM,SAP,OFF_CAMPUS,UNK,2.50251E+11,2.946483151
-71.26988529,42.41433538,SUP,DF,OFF_CAMPUS,DRV_HOM,2.50174E+11,19.42266966
-71.47547125,42.23152816,ADM,VPRES,OFF_CAMPUS,DRV,2.50174E+11,43.78318283
-71.13145273,42.39497842,OTA,SCI,OFF_CAMPUS,WLK_PUB,2.50174E+11,5.739783509
-71.52941352,43.05913074,RES,LL,OFF_CAMPUS,UNK,3.3011E+11,89.56388187
-71.81881887,42.21043662,RES,LL,OFF_CAMPUS,UNK,2.50277E+11,81.72407355
-71.09578755,42.39367711,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,3.764351799
-71.10790787,42.39514671,RES,LL,OFF_CAMPUS,WLK_PUB,2.50174E+11,4.217585701
-71.07527127,42.47499527,SUP,LIB,OFF_CAMPUS,DRV_HOM,2.50173E+11,13.22905416
-71.01672753,42.44047125,OTA,VPRES,OFF_CAMPUS,DRV,2.50252E+11,12.54787045
-70.18175343,43.79401225,RES,LL,OFF_CAMPUS,UNK,2.3005E+11,189.163498
-71.27364349,42.51001986,RES,VPRES,OFF_CAMPUS,CRP2,2.50174E+11,24.83449517
-121.8958388,37.33266882,OTA,SSM,OFF_CAMPUS,UNK,60855008001,5654.589944
-71.08446636,42.36446179,SUP,OPV,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.562894915
-70.95896426,41.98127753,SER,LL,OFF_CAMPUS,UNK,2.50235E+11,46.33985612
-71.13440563,42.38548689,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,5.14141046
-71.0798257,42.41440137,OTA,VPRES,OFF_CAMPUS,CRP2,2.50173E+11,6.356078062
-71.13212891,42.38937273,OTA,VPRES,OFF_CAMPUS,WLK_PUB,2.50174E+11,5.117501277
-71.40474249,42.32258337,ADM,DUE,OFF_CAMPUS,DRV,2.50174E+11,34.31007692
-71.13842616,42.23166659,ADM,VPRD,OFF_CAMPUS,WLK_PUB,2.50214E+11,15.25753395
-70.98424348,42.39416342,SER,WHTKR,OFF_CAMPUS,DRV,2.50252E+11,12.51367739
-122.1171088,37.41559919,RES,LL,OFF_CAMPUS,UNK,60855108021,5678.693391
-71.15656608,42.29368031,SUP,ENG,OFF_CAMPUS,DRV,2.50251E+11,9.98754071
-71.07925066,42.37154723,OTA,ENG,OFF_CAMPUS,UNK,2.50174E+11,2.042445627
-71.3591765,42.68795438,RES,LL,OFF_CAMPUS,UNK,2.50173E+11,47.36340836
-71.07922082,42.79766002,RES,LL,OFF_CAMPUS,UNK,2.50093E+11,48.7935613
-71.23230477,42.58389747,SER,LL,OFF_CAMPUS,UNK,2.50173E+11,29.998287
-71.09763467,42.37431229,OTA,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,1.753866844
-71.05610934,42.48081822,SER,LL,OFF_CAMPUS,UNK,2.50173E+11,14.7132944
-71.06386572,42.45243808,SER,DSL,OFF_CAMPUS,DRV,2.50173E+11,10.68179227
-71.15043362,42.37476932,OTA,ENG,OFF_CAMPUS,UNK,2.50174E+11,6.893070562
-71.20193922,42.37725175,SUP,ENG,OFF_CAMPUS,WLK_PUB,2.50174E+11,11.856264
-71.09526701,42.38657507,ADM,APA,OFF_CAMPUS,WLK_PUB,2.50174E+11,2.887391706
-71.0665866,42.29052424,SER,DF,OFF_CAMPUS,WLK_PUB,2.50251E+11,8.204984131
-71.332852,42.56936571,SER,LL,OFF_CAMPUS,UNK,2.50173E+11,35.74872014
-71.09806788,42.36772738,RES,OPV,OFF_CAMPUS,UNK,2.50174E+11,0.939858405
-71.07225456,42.35559365,RES,VPRES,OFF_CAMPUS,UNK,2.5025E+11,2.428318455
-71.10215127,42.36238837,OTA,SCI,OFF_CAMPUS,WLK,2.50174E+11,1.111084741
-71.11534145,42.36411249,OTA,ENG,OFF_CAMPUS,WLK,2.50174E+11,2.164119761
-71.08109369,42.3446736,OTA,VPRES,OFF_CAMPUS,UNK,2.5025E+11,2.099199943
-71.25507968,42.44137431,ADM,VPRD,OFF_CAMPUS,DRV,2.50174E+11,18.86400547
-71.17876218,42.56178816,SER,LL,OFF_CAMPUS,UNK,2.50173E+11,24.86665775
-71.09578525,42.34328631,ADM,OPV,OFF_CAMPUS,WLK_PUB,2.5025E+11,1.794185039
-71.81361016,42.29041805,SUP,ENG,OFF_CAMPUS,DRV_PUB,2.50277E+11,79.72950643
-71.19058419,42.32958338,FAC,SAP,OFF_CAMPUS,DRV,2.50174E+11,11.40040961
