obstacle,vertX,vertY
311,42.50689,1.5286824
311,42.50676,1.5288682
311,42.50669,1.5288464
311,42.50651,1.5285953
311,42.50651,1.5285044
311,42.506645,1.5283364
311,42.50689,1.5286824
310,42.508595,1.5331635
310,42.50867,1.5331466
310,42.508663,1.5331047
310,42.50888,1.5330766
310,42.508827,1.5324547
310,42.508434,1.5325162
310,42.508392,1.5325819
310,42.508507,1.5339602
310,42.50867,1.5339398
310,42.508595,1.5331635
309,42.508198,1.5324976
309,42.507626,1.532049
309,42.507748,1.5317274
309,42.508114,1.5315121
309,42.50816,1.5315121
309,42.508183,1.5315303
309,42.50821,1.5315807
309,42.50828,1.5323411
309,42.508274,1.5324348
309,42.508198,1.5324976
308,42.506153,1.5320351
308,42.50633,1.5319341
308,42.506237,1.5317175
308,42.506393,1.5316014
308,42.506622,1.5320921
308,42.50623,1.5323423
308,42.506153,1.5320351
307,42.506348,1.5311327
307,42.506355,1.5310833
307,42.506847,1.5306
307,42.50701,1.5310645
307,42.506508,1.5314136
307,42.50646,1.5313936
307,42.506348,1.5311327
306,42.506752,1.5298682
306,42.507046,1.5302795
306,42.507042,1.530321
306,42.506912,1.5304515
306,42.506836,1.5304515
306,42.506584,1.5300897
306,42.506752,1.5298682
305,42.505497,1.5289416
305,42.505707,1.5288317
305,42.505825,1.5291523
305,42.50597,1.5293648
305,42.505795,1.5295968
305,42.505577,1.5293326
305,42.505497,1.5289416
304,42.505745,1.5287017
304,42.50592,1.5285944
304,42.50609,1.5288937
304,42.505913,1.5291146
304,42.50587,1.5290627
304,42.505745,1.5287017
303,42.506752,1.5296923
303,42.506973,1.5294294
303,42.50672,1.5290973
303,42.506516,1.5293503
303,42.506752,1.5296923
302,42.50776,1.5325598
302,42.508125,1.5327516
302,42.50819,1.5325875
302,42.507862,1.5323178
302,42.50776,1.5325598
301,42.507816,1.532288
301,42.50771,1.5325361
301,42.507465,1.5324126
301,42.507595,1.532121
301,42.507816,1.532288
300,42.50645,1.5294169
300,42.506702,1.5297844
300,42.50654,1.5300041
300,42.506283,1.5296384
300,42.50645,1.5294169
299,42.50705,1.5295264
299,42.507343,1.5299968
299,42.507122,1.530238
299,42.506832,1.5297991
299,42.50705,1.5295264
298,42.50782,1.5336359
298,42.50792,1.5335246
298,42.50787,1.5334309
298,42.507896,1.5333555
298,42.507927,1.533354
298,42.507915,1.5331877
298,42.507896,1.5331779
298,42.507996,1.5328634
298,42.508007,1.5328228
298,42.508038,1.5328062
298,42.508305,1.5329179
298,42.508324,1.5329473
298,42.50833,1.5329822
298,42.508415,1.534074
298,42.508114,1.5341103
298,42.50807,1.5340768
