obstacle,vertX,vertY
311,650.40985,211.17392
311,653.5563,220.20645
311,651.4647,222.76932
311,639.47876,226.77512
311,636.50323,225.35588
311,633.9429,216.60287
311,650.40985,211.17392
310,832.64075,206.0689
310,833.84204,202.12285
310,832.2051,202.02675
310,835.8639,191.99496
310,814.4202,184.64262
310,808.2882,202.6698
310,809.5855,205.47966
310,856.9779,222.05927
310,859.76685,214.48836
310,832.64075,206.0689
309,802.5232,213.20338
309,775.7192,231.64124
309,767.8198,221.16328
309,768.553,201.5195
309,769.5108,199.51141
309,770.63586,198.67863
309,772.8677,198.23679
309,799.4776,206.40997
309,802.17126,208.65341
309,802.5232,213.20338
308,744.45953,296.0203
308,744.6184,287.19482
308,735.73145,287.61206
308,735.129,279.10815
308,756.0635,276.49478
308,755.8823,297.90814
308,744.45953,296.0203
307,718.9571,273.5856
307,717.3455,272.8169
307,711.97314,243.41391
307,730.6164,243.40508
307,731.59357,270.71164
307,729.77405,272.8566
307,718.9571,273.5856
306,686.24493,235.79814
306,705.80804,229.38103
306,707.165,230.02824
306,708.50446,238.19894
306,707.1209,241.09952
306,689.7583,247.05984
306,686.24493,235.79814
305,629.4602,276.91016
305,630.1774,266.15997
305,643.2636,265.69162
305,653.029,263.0916
305,657.1537,273.96014
305,643.94055,279.43475
305,629.4602,276.91016
304,626.7766,262.34683
304,626.9957,252.86543
304,640.23566,250.27931
304,643.73505,261.53433
304,641.1849,262.509
304,626.7766,262.34683
303,680.4962,233.05615
303,676.5872,219.14081
303,660.19775,225.56538
303,664.1583,238.54668
303,680.4962,233.05615
302,795.29095,233.58162
302,809.4382,220.06213
302,805.46027,214.60431
302,789.7209,224.89941
302,795.29095,233.58162
301,787.89624,226.2202
301,793.66864,234.99889
301,784.5244,243.7837
301,777.49194,233.9931
301,787.89624,226.2202
300,664.845,242.70862
300,682.38916,236.83484
300,686.10925,247.51047
300,668.6244,253.41254
300,664.845,242.70862
299,681.1913,217.63943
299,702.89984,211.69785
299,706.10065,225.27542
299,685.7971,230.92857
299,681.1913,217.63943
298,831.95667,247.23592
298,830.29065,241.37444
298,826.11053,242.2564
298,824.2262,239.85126
298,825.0322,238.04465
298,819.27466,236.12007
298,818.4217,237.08264
298,810.1637,227.94
298,809.4235,226.08063
298,809.4647,224.59387
298,818.5977,214.84514
298,819.87634,214.63336
298,821.28656,214.62128
298,858.67426,228.07219
298,853.47833,242.02682
298,851.53174,243.28941
298,831.95667,247.23592
297,728.4382,293.71918
297,729.51447,292.86313
297,730.343,292.4367
297,730.8811,292.00864
297,731.4211,290.7599
297,731.54535,280.27463
297,730.1649,278.93146
297,727.97076,277.8849
297,705.9219,278.59738
297,703.7389,279.06244
297,702.1585,280.49976
297,701.4038,283.01556
297,702.74634,287.49017
297,704.5384,289.0297
297,728.4382,293.71918
296,703.7527,174.17181
296,710.91,175.53156
296,711.7402,175.92755
296,720.8529,176.30278
296,727.40857,176.5539
296,731.24884,180.57669
296,735.2723,177.42894
296,736.7239,181.81871
296,735.2704,186.32922
296,730.82654,213.24121
296,705.0663,203.00835
296,703.7527,174.17181
295,734.5082,239.50984
295,760.25653,239.74028
295,765.0934,238.48688
295,771.7665,234.13802
295,771.907,233.5203
295,764.98267,222.68578
295,758.24335,227.00308
295,750.89954,224.185
295,748.17786,223.5715
295,736.0289,219.2831
295,734.5082,239.50984
294,642.88,249.34958
294,661.2797,243.19911
294,664.9849,254.55232
294,647.1643,260.9789
294,642.88,249.34958
293,610.1545,22.576447
293,607.7041,28.117798
293,612.8772,30.585236
293,612.5824,31.26625
293,617.1659,33.452484
293,619.9182,27.23349
293,610.1545,22.576447
292,649.0922,34.43863
292,646.9912,27.684967
292,649.1864,26.951782
292,649.5543,27.948929
292,651.6326,27.433868
292,652.14886,27.6801
292,655.4142,27.046509
292,657.5178,33.390625
292,653.0786,34.83371
292,652.7621,33.998047
292,650.91406,34.62291
292,650.7763,33.73558
292,649.0922,34.43863
291,659.1373,25.946594
291,660.66724,31.743164
291,669.97906,29.474533
291,668.4562,23.681305
291,659.1373,25.946594
290,663.8903,3.7011414
290,664.0272,11.161255
290,676.71826,11.189148
290,676.57434,3.7256317
290,663.8903,3.7011414
289,649.75366,16.130066
