EDGE_ID	LAT_D	LON_D	CON_D	LAT_O	LON_O	CON_O	NATION
108	0.0	0.0	3	0.0	0.0	3	sp
109	42.50722	1.5380555	0	42.51139	1.5305556	0	sp
110	0.0	0.0	2	0.0	0.0	0	sp
111	42.51139	1.5305556	0	42.51139	1.5305556	0	sp
112	42.510834	1.5402777	0	42.51139	1.5305556	0	sp
113	42.508335	1.5236111	0	42.51139	1.5305556	0	sp
114	42.5075	1.5227778	0	42.5075	1.5227778	0	sp
115	42.50611	1.5208334	0	42.50611	1.5208334	0	sp
116	42.508335	1.5236111	0	42.50611	1.5208334	0	sp
117	42.504166	1.5272223	0	42.50611	1.5208334	0	sp
118	42.496666	1.5125	0	42.50611	1.5208334	0	sp
119	0.0	0.0	0	0.0	0.0	4	sp
120	0.0	0.0	1	0.0	0.0	4	sp
121	0.0	0.0	2	0.0	0.0	4	sp
122	42.510834	1.5402777	0	42.510834	1.5402777	0	sp
123	42.508335	1.5236111	0	42.510834	1.5402777	0	sp
124	42.51139	1.5305556	0	42.510834	1.5402777	0	sp
125	42.50722	1.5380555	0	42.510834	1.5402777	0	sp
126	42.50083	1.5311111	0	42.510834	1.5402777	0	sp
127	0.0	0.0	5	0.0	0.0	0	sp
128	0.0	0.0	6	0.0	0.0	0	sp
129	42.50722	1.5380555	0	42.50778	1.5325	0	sp
130	42.508335	1.5236111	0	42.50722	1.5380555	0	sp
131	42.517223	1.5677778	0	42.517223	1.5677778	0	sp
132	42.50722	1.5380555	0	42.496666	1.4980556	0	sp
133	42.496666	1.4980556	0	42.496666	1.4980556	0	sp
134	42.504166	1.5272223	0	42.496666	1.4980556	0	sp
135	42.509445	1.5230556	0	42.509445	1.5230556	0	sp
136	42.50722	1.5380555	0	42.504166	1.5272223	0	sp
137	42.504166	1.5272223	0	42.504166	1.5272223	0	sp
138	42.50611	1.5208334	0	42.504166	1.5272223	0	sp
139	42.508335	1.5236111	0	42.504166	1.5272223	0	sp
140	42.50083	1.5311111	0	42.50611	1.5208334	0	sp
141	42.510834	1.5402777	0	42.50611	1.5208334	0	sp
142	42.50778	1.5325	0	42.50611	1.5208334	0	sp
143	42.50778	1.5325	0	42.508335	1.5236111	0	sp
144	42.496666	1.5125	0	42.508335	1.5236111	0	sp
145	42.50778	1.5325	0	42.51139	1.5305556	0	sp
146	42.50611	1.5208334	0	42.51139	1.5305556	0	sp
147	42.510834	1.5402777	0	42.50083	1.5311111	0	sp
148	42.50722	1.5380555	0	42.50083	1.5311111	0	sp
149	42.50083	1.5311111	0	42.50083	1.5311111	0	sp
150	0.0	0.0	4	0.0	0.0	2	sp
151	0.0	0.0	4	0.0	0.0	5	sp
152	42.504166	1.5272223	0	42.50778	1.5325	0	sp
153	42.510834	1.5402777	0	42.508335	1.5236111	0	sp
154	42.50722	1.5380555	0	42.508335	1.5236111	0	sp
155	42.50611	1.5208334	0	42.508335	1.5236111	0	sp
156	42.51139	1.5305556	0	42.508335	1.5236111	0	sp
157	42.509445	1.5230556	0	42.508335	1.5236111	0	sp
158	42.50083	1.5311111	0	42.51139	1.5305556	0	sp
159	42.50611	1.5208334	0	42.510834	1.5402777	0	sp
160	0.0	0.0	5	0.0	0.0	6	sp
161	0.0	0.0	1	0.0	0.0	1	other
162	0.0	0.0	0	0.0	0.0	1	other
163	42.496666	1.5125	0	42.496666	1.5125	0	other
164	42.51139	1.5305556	0	42.50778	1.5325	0	other
165	42.50778	1.5325	0	42.50778	1.5325	0	other
166	42.508335	1.5236111	0	42.508335	1.5236111	0	other
167	0.0	0.0	4	0.0	0.0	4	other
168	42.50722	1.5380555	0	42.50722	1.5380555	0	other
169	0.0	0.0	4	0.0	0.0	0	other
170	0.0	0.0	2	0.0	0.0	2	other
171	0.0	0.0	5	0.0	0.0	5	other
172	0.0	0.0	4	0.0	0.0	5	other
173	0.0	0.0	0	0.0	0.0	2	other
174	0.0	0.0	6	0.0	0.0	6	other
175	0.0	0.0	4	0.0	0.0	6	other
176	42.515278	1.5272223	0	42.515278	1.5272223	0	other
177	42.51139	1.5305556	0	42.51139	1.5305556	0	other
178	0.0	0.0	1	0.0	0.0	0	other
179	42.50611	1.5208334	0	42.50611	1.5208334	0	other
180	42.504166	1.5272223	0	42.50611	1.5208334	0	other
181	0.0	0.0	0	0.0	0.0	4	other
182	0.0	0.0	2	0.0	0.0	0	other
183	42.510834	1.5402777	0	42.510834	1.5402777	0	other
184	42.50722	1.5380555	0	42.510834	1.5402777	0	other
185	42.50611	1.5208334	0	42.50778	1.5325	0	other
