Lat,Lon,ID
42.496666,1.5125,0
42.50778,1.5325,1
42.508335,1.5236111,2
42.50722,1.5380555,3
42.51139,1.5305556,4
42.50611,1.5208334,5
42.50722,1.5225,6
42.510834,1.5402777,7
42.50083,1.5311111,8
42.5075,1.5227778,9
42.509445,1.5230556,10
42.504166,1.5272223,11
42.515278,1.5272223,12
42.50528,1.5177778,13
