Source_lat,Source_long,Target_lat,Target_long,Weight
42.50745933,1.521722914,42.50745873,1.520456612,0
42.50748065,1.521044936,42.50745873,1.520456612,0
42.50750338,1.521459642,42.50745873,1.520456612,0
42.50755497,1.522263732,42.50833756,1.532854301,13
42.50755497,1.522263732,42.5077269,1.522823398,8
42.5077269,1.522823398,42.50778425,1.523460608,47
42.5077269,1.522823398,42.50846696,1.533379599,43
42.50778425,1.523460608,42.50846696,1.533379599,17
42.50780997,1.524497098,42.5077269,1.522823398,47
42.50780997,1.524497098,42.50778425,1.523460608,43
42.50783994,1.523977081,42.50790313,1.524859078,34
42.50783994,1.523977081,42.5077269,1.522823398,26
42.50790313,1.524859078,42.5081247,1.525267613,65
42.5081247,1.525267613,42.50790313,1.524859078,34
42.50821291,1.525913099,42.50846696,1.533379599,30
42.50821291,1.525913099,42.50780997,1.524497098,26
42.50821291,1.525913099,42.50790313,1.524859078,21
42.50822,1.531142529,42.5081247,1.525267613,34
42.50822,1.531142529,42.50846696,1.533379599,26
42.50822,1.531142529,42.50790313,1.524859078,21
42.50831377,1.527236662,42.5081247,1.525267613,26
42.50831377,1.527236662,42.50839402,1.529989243,21
42.50831701,1.530557904,42.50846696,1.533379599,17
42.50831701,1.530557904,42.50790313,1.524859078,13
42.50832056,1.531629344,42.50846696,1.533379599,21
42.50832056,1.531629344,42.50783994,1.523977081,17
42.50833756,1.532854301,42.50790313,1.524859078,13
42.50836558,1.532193495,42.5081247,1.525267613,30
42.50836558,1.532193495,42.50790313,1.524859078,21
42.5083656,1.526486135,42.50850769,1.533866985,43
42.5083656,1.526486135,42.50864986,1.528973556,34
42.50839402,1.529989243,42.50864986,1.528973556,56
42.50839402,1.529989243,42.50846696,1.533379599,47
42.50839402,1.529989243,42.50831701,1.530557904,43
42.50846696,1.533379599,42.50864986,1.528973556,56
42.50846696,1.533379599,42.5081247,1.525267613,39
42.50849972,1.527585107,42.50867148,1.528075121,39
42.50849972,1.527585107,42.5083656,1.526486135,30
42.50849972,1.527585107,42.50833756,1.532854301,26
42.50850769,1.533866985,42.50864986,1.528973556,95
42.50850769,1.533866985,42.50867148,1.528075121,91
42.50850769,1.533866985,42.50850769,1.533866985,78
42.50850769,1.533866985,42.50864986,1.528973556,100
42.50850769,1.533866985,42.50850769,1.533866985,78
42.50864986,1.528973556,42.50850769,1.533866985,69
42.50864986,1.528973556,42.50846696,1.533379599,43
42.50867148,1.528075121,42.50864986,1.528973556,100
42.50867148,1.528075121,42.50846696,1.533379599,56
42.50890725,1.528515331,42.50745873,1.520456612,0
