Date,Hour,Lat,Lon,Language
20150712,12 16,42.5,1.51667,en
20150712,12 16,42.632137,1.4817085,en
20150712,12 15,42.631687,1.4820896,ca
20150712,12 15,42.631744,1.4998604,es
20150712,12 15,42.631687,1.4820896,zh
20150712,12 17,42.556072,1.5341934,ca
20150712,12 15,42.507904,1.5339305,en
20150712,12 15,42.631687,1.4820896,ca
20150712,12 15,42.50911,1.5232396,la
20150712,12 15,42.575687,1.6703068,es
20150712,12 15,42.5,1.51667,an
20150712,12 14,42.545753,1.5167825,en
20150712,12 14,42.507248,1.5215107,da*
20150712,12 14,42.5,1.5,oc
20150712,12 14,42.632137,1.4817085,en
20150712,12 14,42.532063,1.5755163,en
20150712,12 13,42.509247,1.5394173,es
20150712,12 13,42.507904,1.5339305,en
20150712,12 13,42.618786,1.5395641,it*
20150712,12 13,42.55692,1.5375469,en
20150712,12 13,42.465,1.4911112,ca
20150712,12 13,42.586666,1.665504,ca
20150712,12 12,42.567787,1.6420184,la
20150712,12 12,42.50897,1.5294065,oc
20150712,12 12,42.5,1.51667,en
20150712,12 12,42.57065,1.48659,es
20150712,12 11,42.63152,1.4997989,ca
20150712,12 10,42.556072,1.5341934,en
20150712,12 10,42.575687,1.6703068,es
20150712,12 10,42.5065,1.5277643,la
20150712,12 10,42.567066,1.5989184,ca
20150712,12 09,42.508583,1.5358963,en
20150712,12 08,42.57672,1.6676,ca
20150712,12 08,42.534824,1.5874137,ru
20150712,12 07,42.5,1.51667,en
20150712,12 07,42.54685,1.5151509,en
20150712,12 06,42.54708,1.514795,zh
20150712,12 00,42.506344,1.5267091,et
20150712,12 01,42.508545,1.5349162,ca
20150712,12 00,42.508583,1.5358963,ca
20150712,12 00,42.508583,1.5358963,eu
20150712,12 00,42.508335,1.5275826,ky
20150712,12 00,42.5065,1.5277643,ca
20150712,12 09,42.506626,1.5238514,ru
20150701,01 22,42.577953,1.5186428,es*
20150701,01 22,42.506626,1.531373,es
20150701,01 21,42.522602,1.5722244,es
20150701,01 21,42.5115,1.5375487,an
20150701,01 20,42.503677,1.5225416,ca
20150701,01 19,42.5833,1.65,en
20150701,01 19,42.532887,1.5237929,ca
20150701,01 19,42.50043,1.5127751,es
20150701,01 18,42.50556,1.518302,en
20150701,01 18,42.554115,1.7191668,es
20150701,01 18,42.566666,1.6,fi
20150701,01 17,42.5,1.5,ca
20150701,01 17,42.53575,1.5820332,es
20150701,01 16,42.5093,1.5478935,es
20150701,01 15,42.566055,1.5977015,en
20150701,01 14,42.506626,1.5238514,ru
20150701,01 13,42.506916,1.5189798,es
20150701,01 13,42.50893,1.53472,es
20150701,01 13,42.55477,1.6163206,en
20150701,01 13,42.566055,1.5977015,en
20150701,01 12,42.536304,1.4904138,ca
20150701,01 12,42.5,1.51667,ky
20150701,01 12,42.50897,1.5294065,zh
20150701,01 12,42.522602,1.5722244,ca
20150701,01 15,42.554115,1.7191668,ca
20150701,01 11,42.536213,1.4910638,en
20150701,01 10,42.50765,1.5208327,es
20150701,01 09,42.581318,1.6379255,zh
20150701,01 08,42.5333,1.51667,es
20150701,01 08,42.544846,1.4523325,ca
20150701,01 06,42.537365,1.5853142,es
20150701,01 08,42.50544,1.5200319,en
20150701,01 00,42.5,1.51667,en
20150701,01 00,42.53255,1.7009798,en
20150701,01 00,42.57065,1.48659,it
20141225,25 23,42.5,1.51667,es
20141225,25 22,42.5,1.51667,la
20141225,25 22,42.5,1.51667,la
20141225,25 22,42.5,1.51667,es
20141225,25 22,42.507984,1.530915,es
20141225,25 22,42.56771,1.641663,en
20141225,25 21,42.578827,1.6497227,es
20141225,25 21,42.631832,1.481895,en
20141225,25 21,42.536175,1.4912957,ko
20141225,25 20,42.536213,1.4910638,qu
20141225,25 21,42.53641,1.4913105,es
20141225,25 20,42.5,1.51667,en
20141225,25 20,42.57913,1.6494856,en
20141225,25 20,42.575157,1.6706305,it
20141225,25 20,42.57913,1.6494856,en
20141225,25 19,42.575687,1.6703068,qu
20141225,25 19,42.63152,1.4997989,pt
20141225,25 14,42.575687,1.6703068,he*
20141225,25 10,42.578827,1.6497227,zh
20141225,25 19,42.50794,1.5226023,am
20141225,25 20,42.575687,1.6703068,zh
20141225,25 18,42.507984,1.530915,pt
20141225,25 18,42.566418,1.6001465,la
20141225,25 18,42.553272,1.5276035,la
20141225,25 18,42.578827,1.6497227,es
20141225,25 18,42.556602,1.5339712,de
20141225,25 17,42.57913,1.6494856,en*
20141225,25 17,42.578827,1.6497227,fr
20141225,25 19,42.544846,1.4523325,la
20141225,25 17,42.55517,1.5402124,en
20141225,25 17,42.579037,1.6501782,ca
20141225,25 17,42.508896,1.53474,la
20141225,25 17,42.465,1.4911112,en
20141225,25 17,42.57239,1.4831705,en
20141225,25 16,42.578827,1.6497227,en
20141225,25 16,42.56771,1.641663,ru
20141225,25 15,42.578827,1.6497227,eu
20141225,25 15,42.631687,1.4820896,en*
20141225,25 15,42.572952,1.4705433,en
20141225,25 17,42.578827,1.6497227,ru
20141225,25 15,42.566418,1.6001465,es
20141225,25 15,42.578827,1.6497227,tl
20141225,25 15,42.5,1.51667,la
20141225,25 15,42.566418,1.6001465,be
20141225,25 15,42.56771,1.641663,lt
20141225,25 14,42.5833,1.65,es
20141225,25 13,42.572952,1.4705433,rw*
20141225,25 13,42.578827,1.6497227,es
20141225,25 13,42.578827,1.6497227,en
20141225,25 13,42.578827,1.6497227,eu
20141225,25 13,42.506893,1.5326322,la
20141225,25 13,42.5,1.51667,la
20141225,25 13,42.578827,1.6497227,la
20141225,25 12,42.508255,1.5386648,zh
20141225,25 12,42.50746,1.5262835,es
20141225,25 12,42.4667,1.5,es
20141225,25 12,42.465183,1.4910854,la
20141225,25 11,42.532997,1.5235888,la
20141225,25 08,42.50889,1.6869445,es
20141225,25 08,42.50889,1.6869445,es
20141225,25 08,42.50889,1.6869445,es
20141225,25 08,42.507984,1.530915,en
20141225,25 07,42.5667,1.48333,es*
20141109,09 14,42.584637,1.5654789,ca
20141109,09 21,42.507984,1.530915,es
20141109,09 20,42.5,1.51667,en
20141109,09 17,42.505203,1.5169939,ca
