ID;Name;Callsign;Gen;Latitude;Longitude;Altitude (m);Height (m);Frequency (Hz) ;ERP (W?);Polarization;Direction (deg);Aperture (deg);Tilt M;Tilt E
2171;LLORTS1;2171;2G;42.59778;1.5275;1450;3;915;183.756;V;165;65;0;0
3090;MAIA0;3090;2G;42.55361;1.718611;2615;40;915;183.756;V;100;65;0;-4
3091;MAIA1;3091;2G;42.55361;1.718611;2615;40;915;183.756;V;260;65;0;-4
1225;MARGIN5;1225;2G;42.48722;1.49;1010;0;1785.0002;342.17;V;44;65;0;-2
1226;MARGIN6;1226;2G;42.48722;1.49;1010;0;1785.0002;342.17;V;165;65;0;-2
2000;MASSAN0;2000;2G;42.544445;1.516944;1216;14;915;206.178;V;0;65;0;0
2001;MASSAN1;2001;2G;42.544445;1.516944;1216;14;915;206.178;V;120;65;0;0
2002;MASSAN2;2002;2G;42.544445;1.516944;1216;14;915;206.178;V;240;65;0;0
3050;MERITX0;3050;2G;42.553333;1.589167;1440;2;915;31.933;V;0;360;0;0
3200;MONTAU0;3200;2G;42.568054;1.600278;1610;2;915;183.756;V;235;65;-2;0
3201;MONTAU1;0;2G;42.568054;1.600278;0;2;NaN;NaN;;64;;0;0
3670;NERES0;0;2G;42.546665;1.563611;0;10;NaN;NaN;;50;65;0;0
3671;NERES1;3671;2G;42.546665;1.563611;2206;10;915;183.756;V;50;65;0;0
3672;NERES2;3672;2G;42.546665;1.563611;2206;8;915;183.756;V;170;65;-3;0
3673;NERES3;3673;2G;42.546665;1.563611;2206;10;915;183.756;V;305;65;0;0
1185;NEXUS5;1185;2G;42.497223;1.501111;988;0;1785.0002;31.933;V;0;360;0;0
2030;ORDINO0;0;2G;42.552776;1.533611;0;2;NaN;NaN;;0;65;-3;0
2031;ORDINO1;0;2G;42.552776;1.533611;0;2;NaN;NaN;;80;65;0;3
2032;ORDINO2;0;2G;42.552776;1.533611;0;2;NaN;NaN;;200;65;0;2
2520;PAL_TV0;2520;2G;42.540833;1.493333;1875;20;915;183.756;V;120;65;0;-8
2521;PAL_TV1;2521;2G;42.540833;1.493333;1875;20;915;31.933;V;0;360;0;0
2160;PALPIS0;2160;2G;42.53611;1.491667;1900;10;915;31.933;V;0;360;0;0
1000;PARDIN0;1000;2G;42.441944;1.463611;1505;8;915;183.756;V;100;65;0;0
1001;PARDIN1;1001;2G;42.441944;1.463611;1505;3;915;183.756;V;75;65;0;-15
1111;PARKHO0;0;2G;42.509445;1.523056;0;2;NaN;NaN;;240;65;-3;-5
3610;PAS_CT0;3610;2G;42.545277;1.730556;2138;5;915;183.756;V;130;65;0;-5
3530;PBLANC0;3530;2G;42.535;1.716389;2505;20;915;71.3;V;110;65;0;-8
3531;PBLANC1;3531;2G;42.535;1.716389;2505;20;915;183.756;V;300;65;0;-6
2120;PNEGRE0;2120;2G;42.565834;1.444444;2309;0;915;183.756;V;180;90;0;-2
1070;POLICI0;1070;2G;42.50722;1.538056;1045;8;915;253.654;V;40;65;-3;-3
1071;POLICI1;1071;2G;42.50722;1.538056;1045;8;915;206.178;V;280;65;-4;-5
1060;PONTPL0;1060;2G;42.515278;1.527222;1168;0;915;16.005;V;0;30;0;0
1061;PONTPL1;1061;2G;42.515278;1.527222;1168;0;915;16.005;V;0;30;0;0
1700;PORTAL0;1700;2G;42.447777;1.482778;869;2;915;183.756;V;240;65;0;0
3690;PORTEL0;3690;2G;42.55361;1.627778;2460;6;915;183.756;V;80;360;0;5
1095;PPLA_N5;1095;2G;42.51917;1.523333;1117;5;1785.0002;342.17;V;110;65;0;0
1560;PYRENE0;1560;2G;42.50833;1.523611;1032;2;915;319.332;V;120;65;-2;-2
1561;PYRENE1;1561;2G;42.50833;1.523611;1032;2;915;319.332;V;230;65;-3;-3
1567;PYRENE7;1567;2G;42.50833;1.523611;1032;2;1785.0002;319.332;V;60;65;0;-1
4510;RABASS0;4510;2G;42.435;1.5225;2060;2;915;31.933;V;0;360;0;0
3230;RANSOL0;3230;2G;42.579166;1.639167;1644;5;915;183.756;V;110;65;0;0
3231;RANSOL1;3231;2G;42.579166;1.639167;1644;5;915;183.756;V;235;65;0;0
3232;RANSOL2;3232;2G;42.579166;1.639167;1644;5;915;183.756;V;21;65;0;5
3100;RIBA0;3100;2G;42.568333;1.646667;2134;4;915;100.982;V;14;88;0;-4
3101;RIBA1;3101;2G;42.568333;1.646667;2134;2;915;183.756;V;223;65;0;0
2550;SERRAT0;2550;2G;42.621113;1.538333;1695;2;915;31.933;V;0;360;0;0
3215;SOLDEH5;3215;2G;42.575558;1.670278;1827;5;1785.0002;183.756;V;0;65;0;0
3216;SOLDEH6;3216;2G;42.575558;1.670278;1827;5;1785.0002;183.756;V;120;65;0;0
3217;SOLDEH7;3217;2G;42.575558;1.670278;1827;5;1785.0002;183.756;V;240;65;0;0
3520;SOLDEU0;3520;2G;42.577778;1.6625;1805;2;915;31.933;V;0;360;0;0
3521;SOLDEU1;3521;2G;42.577778;1.6625;1805;2;915;183.756;V;310;65;0;-2
2150;SORNAS0;2150;2G;42.564445;1.526944;1312;3;915;31.933;V;0;360;0;0
2200;SORTRF0;0;2G;42.6225;1.563889;0;2;NaN;NaN;;0;360;0;0
2201;SORTRF1;0;2G;42.6225;1.563889;0;2;NaN;NaN;;0;360;0;0
1020;STACOL0;0;2G;42.496666;1.498056;0;1;NaN;NaN;;100;65;-3;0
1021;STACOL1;0;2G;42.496666;1.498056;0;1;NaN;NaN;;195;65;-3;0
1050;STANTO0;1050;2G;42.524445;1.520833;1124;5;915;183.756;V;0;65;0;0
1051;STANTO1;1051;2G;42.524445;1.520833;1124;5;915;183.756;V;180;65;0;-2
1400;SUCARA0;0;2G;42.05;1.540278;0;2;NaN;NaN;;150;65;0;0
1401;SUCARA1;0;2G;42.05;1.540278;0;2;NaN;NaN;;245;65;-6;0
1402;SUCARA2;0;2G;42.05;1.540278;0;1;NaN;NaN;;300;65;0;0
1780;TAPIA0;1780;2G;42.47167;1.490278;945;0;915;31.933;V;0;360;0;0
1630;TAPIAN0;1630;2G;42.475834;1.489722;926;5;915;183.756;V;0;65;0;0
1631;TAPIAN1;1631;2G;42.475834;1.489722;926;3;915;183.756;V;110;65;0;0
1010;TAPIAS0;0;2G;42.466946;1.491111;0;10;NaN;NaN;;70;65;-2;0
1011;TAPIAS1;0;2G;42.466946;1.491111;0;10;NaN;NaN;;190;65;-2;0
3660;VILA0;3660;2G;42.531944;1.562778;1400;2;915;183.756;V;90;30;0;-4
312;ALDOSA_CANILLO-0;0;3G;42.05;1.631111;0;1;NaN;NaN;;240;65;-3;0
160;ALIGA-0;160;3G;42.55722;1.497778;0;20;NaN;NaN;;70;65;0;-10
161;ALIGA-1;161;3G;42.55722;1.497778;0;20;NaN;NaN;;240;65;0;-5
162;ALIGA-2;162;3G;42.55722;1.497778;0;25;NaN;NaN;;340;65;0;-5
9160;ALIGA-A;9160;3G;42.55722;1.497778;0;20;NaN;NaN;;70;65;0;-10
9161;ALIGA-B;9161;3G;42.55722;1.497778;0;20;NaN;NaN;;240;65;0;-5
9162;ALIGA-C;9162;3G;42.55722;1.497778;0;25;NaN;NaN;;340;65;0;-5
40;ANDORRA-0;40;3G;42.50778;1.5325;1015;12;2113.0002;76.038;V;70;65;-5;-5
41;ANDORRA-1;41;3G;42.50778;1.5325;0;12;NaN;NaN;;280;65;-3;-3
42;ANDORRA-2;42;3G;42.50778;1.5325;0;12;NaN;NaN;;340;65;-5;-3
45;ANDORRA-5;45;3G;42.50778;1.5325;0;12;NaN;NaN;;70;65;-5;-5
46;ANDORRA-6;46;3G;42.50778;1.5325;0;12;NaN;NaN;;280;65;-3;-3
47;ANDORRA-7;47;3G;42.50778;1.5325;0;12;NaN;NaN;;340;65;-5;-3
9040;ANDORRA-A;9040;3G;42.50778;1.5325;0;12;NaN;NaN;;70;65;-3;-5
9041;ANDORRA-B;9041;3G;42.50778;1.5325;0;12;NaN;NaN;;280;65;-3;-3
9042;ANDORRA-C;9042;3G;42.50778;1.5325;0;12;NaN;NaN;;340;65;-3;-3
371;ARANS_CT_MINI-0;371;3G;42.564445;1.526944;0;1;NaN;NaN;;0;360;0;0
370;ARANS_TV-0;370;3G;42.5825;1.519167;0;12;NaN;NaN;;40;65;0;0
370;ARANS_TV-0;370;3G;42.5825;1.519167;0;12;NaN;NaN;;175;65;0;0
380;ARCALIS_MINI-0;380;3G;42.631668;1.499444;0;3;NaN;NaN;;0;360;0;0
470;BARTRA-0;470;3G;42.519722;1.557222;0;4;NaN;NaN;;275;65;0;0
10;BONAVISTA-0;10;3G;42.460278;1.491111;1005;3;2113.0002;76.038;V;0;65;0;-6
11;BONAVISTA-1;11;3G;42.460278;1.491111;1005;12;2113.0002;76.038;V;225;65;0;-9
15;BONAVISTA-5;0;3G;42.460278;1.491111;0;3;NaN;NaN;;0;65;0;-6
16;BONAVISTA-6;0;3G;42.460278;1.491111;0;12;NaN;NaN;;225;65;0;-9
9010;BONAVISTA-A;9010;3G;42.460278;1.491111;1005;3;2113.0002;76.038;V;0;65;0;-6
9011;BONAVISTA-B;9011;3G;42.460278;1.491111;1005;12;2113.0002;76.038;V;225;65;0;-9
150;BURNA-0;150;3G;42.53639;1.516111;1005;2;2113.0002;76.038;V;5;65;0;0
151;BURNA-1;151;3G;42.53639;1.516111;0;2;NaN;NaN;;140;65;0;-4
70;CANILLO-0;70;3G;42.566113;1.5975;0;8;NaN;NaN;;0;360;0;0
9070;CANILLO-A;9070;3G;42.566113;1.5975;0;8;NaN;NaN;;0;360;0;0
9390;CANOLIC_MINI-A;0;3G;42.476665;1.454444;0;8;NaN;NaN;;85;65;0;-12
350;CERTES-0;350;3G;42.474167;1.505556;0;3;NaN;NaN;;190;65;0;-5
211;COLL_DE_LA_BOTELLA-0;0;3G;42.545;1.452222;0;4;NaN;NaN;;0;360;0;0
400;COMELLA_TV-0;400;3G;42.50083;1.531111;0;20;NaN;NaN;;230;65;0;3
30;COMELLA-0;30;3G;42.496666;1.5125;1095;20;2113.0002;76.038;V;50;65;-4;-4
31;COMELLA-1;31;3G;42.496666;1.5125;1095;20;2113.0002;76.038;V;5;65;-6;-2
32;COMELLA-2;32;3G;42.496666;1.5125;1095;20;2113.0002;76.038;V;290;65;-5;-2
9030;COMELLA-A;9030;3G;42.496666;1.5125;0;20;NaN;NaN;;50;65;-8;-4
9031;COMELLA-B;9031;3G;42.496666;1.5125;0;20;NaN;NaN;;5;65;-6;-2
9032;COMELLA-C;9032;3G;42.496666;1.5125;0;20;NaN;NaN;;290;65;-3;-2
460;CONSELL_GENERAL-0;460;3G;42.50611;1.520833;0;3;NaN;NaN;;120;65;0;0
461;CONSELL_GENERAL-1;461;3G;42.50611;1.520833;0;3;NaN;NaN;;240;65;0;0
465;CONSELL_GENERAL-5;0;3G;42.50611;1.520833;0;3;NaN;NaN;;120;65;0;0
466;CONSELL_GENERAL-6;0;3G;42.50611;1.520833;0;3;NaN;NaN;;240;65;0;0
9460;CONSELL_GENERAL-A;9460;3G;42.50611;1.520833;0;3;NaN;NaN;;120;65;0;0
9461;CONSELL_GENERAL-B;9461;3G;42.50611;1.520833;0;3;NaN;NaN;;240;65;0;0
342;DUANA-0;0;3G;42.435833;1.474167;0;2;NaN;NaN;;50;65;0;0
60;ENCAMP-0;60;3G;42.534443;1.58;0;15;NaN;NaN;;10;65;0;0
61;ENCAMP-1;61;3G;42.534443;1.58;0;15;NaN;NaN;;130;65;0;0
62;ENCAMP-2;62;3G;42.534443;1.58;0;15;NaN;NaN;;250;65;0;0
65;ENCAMP-5;0;3G;42.534443;1.58;0;15;NaN;NaN;;10;65;0;0
66;ENCAMP-6;0;3G;42.534443;1.58;0;15;NaN;NaN;;130;65;0;0
67;ENCAMP-7;0;3G;42.534443;1.58;0;15;NaN;NaN;;250;65;0;0
9060;ENCAMP-A;9060;3G;42.534443;1.58;0;15;NaN;NaN;;10;65;0;0
9061;ENCAMP-B;9061;3G;42.534443;1.58;0;15;NaN;NaN;;130;65;0;0
9062;ENCAMP-C;9062;3G;42.534443;1.58;0;15;NaN;NaN;;250;65;0;0
140;ESPIOLETS-0;140;3G;42.564167;1.664444;0;20;NaN;NaN;;220;65;0;-4
441;ESTADI_NACIONAL-0;0;3G;42.50528;1.517778;0;6;NaN;NaN;;230;60;-3;0
445;ESTADI_NACIONAL-5;0;3G;42.50528;1.517778;0;6;NaN;NaN;;230;60;-3;0
490;FEDA_MINI-0;0;3G;42.516945;1.554167;0;15;NaN;NaN;;225;65;0;-8
440;FITER_ROSSELL-A;0;3G;42.51389;1.528611;0;3;NaN;NaN;;40;60;0;-4
333;FORN_CANILLO-0;0;3G;42.05;1.616389;0;5;NaN;NaN;;195;60;0;0
240;FUNICAMP-0;240;3G;42.535;1.5875;0;10;NaN;NaN;;275;65;0;-9
241;FUNICAMP-1;241;3G;42.535;1.5875;0;10;NaN;NaN;;355;65;0;-7
19092;HERMITAGE-F;0;3G;42.575558;1.670278;0;0;NaN;NaN;;0;360;0;0
190;LA_COMA-0;190;3G;42.631668;1.482222;0;3;NaN;NaN;;0;360;0;0
100;LA_MASSANA-0;100;3G;42.544445;1.516944;0;14;NaN;NaN;;0;65;0;0
101;LA_MASSANA-1;101;3G;42.544445;1.516944;0;14;NaN;NaN;;120;65;0;0
102;LA_MASSANA-2;102;3G;42.544445;1.516944;0;14;NaN;NaN;;240;65;0;0
105;LA_MASSANA-5;0;3G;42.544445;1.516944;0;14;NaN;NaN;;0;65;0;0
106;LA_MASSANA-6;0;3G;42.544445;1.516944;0;14;NaN;NaN;;120;65;0;0
107;LA_MASSANA-7;0;3G;42.544445;1.516944;0;14;NaN;NaN;;240;65;0;0
9100;LA_MASSANA-A;9100;3G;42.544445;1.516944;0;14;NaN;NaN;;0;65;-2;0
9101;LA_MASSANA-B;9101;3G;42.544445;1.516944;0;14;NaN;NaN;;120;65;0;0
9102;LA_MASSANA-C;9102;3G;42.544445;1.516944;0;14;NaN;NaN;;240;65;0;0
471;LA_PLANA-0;0;3G;42.50528;1.546667;0;3;NaN;NaN;;35;65;-3;0
482;LLAC_DE_CUBIL-0;0;3G;42.05;1.675556;0;3;NaN;NaN;;0;360;0;0
200;LLAC_NEGRE-0;200;3G;42.543888;1.730556;0;0;NaN;NaN;;150;65;-3;0
120;MARGINEDA-0;120;3G;42.4875;1.490556;0;0;NaN;NaN;;44;65;-2;-2
121;MARGINEDA-1;121;3G;42.4875;1.490556;0;0;NaN;NaN;;165;65;-2;-2
360;MERITXELL_MINI-0;360;3G;42.55361;1.588889;0;2;NaN;NaN;;0;360;0;0
361;MERITXELL_MINI-1;0;3G;42.553333;1.589167;0;2;NaN;NaN;;0;360;0;0
410;MONTAUP_MINI-0;410;3G;42.568054;1.600278;0;3;NaN;NaN;;80;;0;0
411;MONTAUP_MINI-1;0;3G;42.568054;1.600278;0;2;NaN;NaN;;248;65;-4;0
231;NATURLANDIA_1600-0;0;3G;42.441666;1.502778;0;4;NaN;NaN;;40;40;0;0
472;NERES-0;0;3G;42.546665;1.563611;0;10;NaN;NaN;;170;65;-3;0
20;NEXUS-0;20;3G;42.497223;1.501111;987;0;2113.0002;1.125;V;0;360;0;0
1171;NYERRO-0;0;3G;42.504166;1.527222;0;2;NaN;NaN;;49;60;-6;0
1172;NYERRO-1;0;3G;42.504166;1.527222;0;2;NaN;NaN;;330;60;-5;-3
1176;NYERRO-5;0;3G;42.504166;1.527222;0;2;NaN;NaN;;49;60;-6;0
110;ORDINO-0;110;3G;42.552776;1.533611;0;10;NaN;NaN;;0;61;-3;0
111;ORDINO-1;0;3G;42.552776;1.533611;0;10;NaN;NaN;;80;61;0;3
112;ORDINO-2;0;3G;42.552776;1.533611;0;10;NaN;NaN;;200;61;0;2
9110;ORDINO-A;9110;3G;42.552776;1.533611;0;10;NaN;NaN;;0;65;-3;0
9111;ORDINO-B;0;3G;42.552776;1.533611;0;10;NaN;NaN;;80;65;0;3
9112;ORDINO-C;0;3G;42.552776;1.533611;0;10;NaN;NaN;;200;65;-2;2
210;PAL_PISTES-0;210;3G;42.53611;1.491667;0;10;NaN;NaN;;352;;0;0
341;PARDINES-0;341;3G;42.441944;1.463611;0;8;NaN;NaN;;100;65;0;0
1170;PARKHOTEL-0;0;3G;42.509445;1.523056;0;2;NaN;NaN;;240;60;-3;-5
1175;PARKHOTEL-5;0;3G;42.509445;1.523056;0;2;NaN;NaN;;240;60;-3;-5
