ID,Cluster,Latitude,Longitude,Frequency,Resilience,Mindshare Indicator
11,Computer Software,42.36968,-71.07788,1.0,184031.27,6.37
11,Computer Software,42.36968,-71.07788,1.0,106698.46,10.3
11,Computer Software,42.36585,-71.07579,1.0,6.6,3.0
11,Computer Software,42.36585,-71.07579,1.0,160625.48,2.4
11,Computer Software,32.178196,34.90761,1.0,246698.0,8.0
11,Computer Software,41.815804,-72.17106,1.0,126.95,9.74
11,Computer Software,42.361954,-71.08021,1.0,750.78,3.89
11,Computer Software,42.36233,-71.08153,1.0,3001.89,9.43
11,Computer Software,42.36236,-71.09969,1.0,266697.03,3.2
11,Computer Software,42.362583,-71.08535,1.0,15749.77,54.83
11,Computer Software,42.362663,-71.08415,1.0,97631.74,8.7
11,Computer Software,42.362762,-71.083496,1.0,125.65,3.25
11,Computer Software,42.362762,-71.083496,1.0,66697.48,5.4
11,Computer Software,42.36347,-71.07867,1.0,125.45,2.26
11,Computer Software,42.3656,-71.07857,1.0,352.14,10.68
11,Computer Software,42.365868,-71.092285,1.0,191290.78,52.89
11,Computer Software,42.366898,-71.08013,1.0,640031.75,8.73
11,Computer Software,42.36708,-71.08455,1.0,12928.47,17.37
11,Computer Software,42.36708,-71.08455,1.0,222682.17,48.83
11,Computer Software,42.367287,-71.08144,1.0,34.73,143.67
11,Computer Software,42.369007,-71.110275,1.0,597365.8,15.1
11,Computer Software,42.373615,-71.10973,1.0,160007.1,5.5
11,Computer Software,42.373615,-71.10973,1.0,76681.67,46.33
11,Computer Software,42.373615,-71.10973,1.0,8.43,12.17
11,Computer Software,42.374355,-71.111595,1.0,13339.03,1.17
11,Computer Software,42.375393,-71.118484,1.0,6.27,1.33
11,Computer Software,42.375393,-71.118484,1.0,76925.05,0.23
11,Computer Software,42.377537,-71.149055,1.0,64125.18,0.91
11,Computer Software,42.38033,-71.13891,1.0,6.33,1.67
11,Computer Software,42.38851,-71.13254,1.0,125.25,1.26
11,Computer Software,42.38941,-71.14601,1.0,30.93,4.67
11,Computer Software,42.389412,-71.14601,1.0,126.89,9.44
11,Computer Software,42.394882,-71.14577,1.0,208034.61,23.07
11,Computer Software,42.39491,-71.14629,1.0,347650.0,25.06
11,Computer Software,42.395485,-71.14567,1.0,25679.32,34.6
11,Computer Software,42.39822,-71.13994,1.0,126.72,8.6
11,Computer Software,42.39822,-71.13994,1.0,76926.45,7.27
13,Consumer Electronics,42.3947,-71.14446,1.0,20008.83,14.17
13,Consumer Electronics,42.36968,-71.07788,1.0,346315.16,93.78
13,Consumer Electronics,42.362762,-71.083496,1.0,280012.28,31.33
13,Consumer Electronics,42.362816,-71.08402,1.0,46673.57,5.83
14,Consumer Goods,42.36948,-71.07719,1.0,354700.6,21.0
15,Consumer Services,42.36273,-71.0832,1.0,325.0,1595.0
15,Consumer Services,42.362858,-71.08376,1.0,114.53,542.67
15,Consumer Services,42.366898,-71.08013,1.0,186700.31,19.6
15,Consumer Services,42.373615,-71.10973,1.0,13340.1,6.5
16,Cosmetics,42.366188,-71.0803,1.0,339327.06,10.28
17,Design,42.35749,-71.05559,1.0,188.7,913.5
17,Design,42.363937,-71.101234,1.0,772.86,114.3
17,Design,42.373615,-71.10973,1.0,7.2,6.0
17,Design,42.391254,-71.12288,1.0,7.1,5.5
18,E-learning,42.3649,-71.08865,1.0,141.77,83.86
18,E-learning,42.36273,-71.0832,1.0,30.03,0.17
18,E-learning,42.373615,-71.10973,1.0,66688.23,79.17
19,Education Management,42.374355,-71.111595,1.0,6.2,1.0
19,Education Management,42.363445,-71.10045,1.0,21.43,77.17
19,Education Management,42.36273,-71.0832,1.0,63909.73,186.67
19,Education Management,42.36708,-71.08455,1.0,106701.61,26.07
20,Electrical & Electronic Manufacturing,42.39178,-71.15305,1.0,32033.95,19.73
20,Electrical & Electronic Manufacturing,42.39038,-71.152756,1.0,13132.03,0.17
21,Entertainment,42.36693,-71.081665,1.0,208317.88,227.33
22,Environmental Services,42.363586,-71.08246,1.0,70.3,321.5
23,Financial Services,42.37217,-71.12306,1.0,163365.48,13.43
23,Financial Services,42.36273,-71.0832,1.0,6.6,3.0
23,Financial Services,42.36262,-71.08204,1.0,30.1,0.5
23,Financial Services,42.362583,-71.08535,1.0,6673.67,6.33
23,Financial Services,42.363586,-71.08246,1.0,13.23,36.17
23,Financial Services,42.36437,-71.07898,1.0,6492.81,0.07
24,Fine Art,42.374355,-71.111595,1.0,300038.62,163.17
25,Food & Beverages,42.362762,-71.083496,1.0,6.03,0.17
26,"Health, Wellness & Fitness",42.388256,-71.13232,1.0,33.8,139.0
