"shapeid","x","y"
"0","103.738909459","1.34291938829"
"0","103.738832397","1.34296324493"
"1","103.747182829","1.33168231863"
"1","103.747229355","1.33168874844"
"2","103.7468263","1.33183058858"
"2","103.747009274","1.33167349513"
"3","103.747392804","1.33880745913"
"3","103.747362318","1.33869572784"
"4","103.747407658","1.33880982022"
"4","103.747568707","1.33875553447"
"5","103.747604669","1.33874452014"
"5","103.747698484","1.33871462376"
"6","103.740148839","1.33560745247"
"6","103.740161095","1.33554644102"
"7","103.740193343","1.33545557341"
"7","103.740327485","1.33536146431"
"8","103.740129562","1.33941804467"
"8","103.740120977","1.33950786942"
"9","103.744820051","1.32027204795"
"9","103.744717034","1.3201158708"
"10","103.744724667","1.3200685071"
"10","103.744936058","1.32001609656"
"11","103.744891276","1.32029765263"
"11","103.74508715","1.32016964874"
"12","103.747288834","1.33859973154"
"12","103.747318541","1.33863671373"
"13","103.747494651","1.33293830506"
"13","103.747540565","1.33295807113"
"14","103.747955378","1.33293463944"
"14","103.747949144","1.33297907242"
"15","103.747984445","1.33305189745"
"15","103.748019397","1.33308708563"
"16","103.747549837","1.33305224973"
"16","103.747548638","1.33310116382"
"17","103.746816218","1.33204182029"
"17","103.746816718","1.33208980034"
"18","103.740806861","1.33387168431"
"18","103.740591409","1.33383158706"
"19","103.741264972","1.33259978444"
"19","103.74110384","1.33247586669"
"20","103.740897432","1.33268723767"
"20","103.741064008","1.33247950961"
"21","103.750018867","1.33678167949"
"21","103.750047939","1.33675120296"
"22","103.747004288","1.34578323225"
"22","103.747019741","1.34580219427"
"23","103.746873918","1.34585597637"
"23","103.74697605","1.34577298571"
"24","103.737795057","1.34239914322"
"24","103.737732275","1.34228095471"
"25","103.738942881","1.3415985256"
"25","103.739003538","1.34172199388"
"26","103.739194732","1.34161764628"
"26","103.739139871","1.34150426162"
"26","103.739134983","1.34149459017"
"27","103.738963505","1.34153592763"
"27","103.739066544","1.34148361228"
"28","103.743251691","1.34105566713"
"28","103.743437511","1.34093674915"
"29","103.742106166","1.33910213083"
"29","103.742186326","1.33920858701"
"30","103.741903966","1.33922878286"
"30","103.742074837","1.33909857519"
"31","103.740331347","1.33742345878"
"31","103.740536632","1.33734730207"
"32","103.740302179","1.33741540318"
"32","103.74010669","1.33721566758"
"33","103.737757419","1.33303890384"
"33","103.737759293","1.33298851367"
"34","103.743380504","1.32070142004"
"34","103.74348407","1.32069487171"
"35","103.742426551","1.34286443209"
"35","103.742395401","1.34280893271"
"36","103.746809141","1.33182352441"
"36","103.74661637","1.33157666446"
"37","103.747012607","1.33165117155"
"37","103.746824261","1.33140621174"
"38","103.746621695","1.33153829118"
"38","103.746794988","1.33139808553"
"39","103.743201363","1.34104294706"
"39","103.743086192","1.34089140401"
"40","103.750254444","1.33677750787"
"40","103.750222272","1.33673593116"
"41","103.73775221","1.33310525095"
"41","103.737909098","1.33331535901"
"42","103.737449536","1.34538221168"
"42","103.737436977","1.34544909281"
"43","103.744530382","1.32860985838"
"43","103.744635546","1.32851043112"
"44","103.737597517","1.3332064401"
"44","103.737720124","1.33310295246"
"45","103.745310045","1.32098171184"
"45","103.745562923","1.32086718807"
"46","103.745573905","1.32087143992"
"46","103.745649702","1.32104095999"
"47","103.740299051","1.33751936935"
"47","103.74029203","1.337567484"
"48","103.74034408","1.33702437454"
"48","103.740356084","1.33697778707"
"49","103.737233067","1.33658624474"
"49","103.737323822","1.33658649664"
"50","103.740545186","1.34348324936"
"50","103.740545118","1.34339763348"
"51","103.743292296","1.34272764419"
"51","103.743342132","1.34268695929"
"52","103.745788219","1.33940073663"
"52","103.745618135","1.33952876598"
"53","103.745710842","1.33926265366"
"53","103.745793827","1.33938351179"
"54","103.736871796","1.32298124845"
"54","103.736964543","1.32295622303"
"55","103.741105636","1.33286582412"
"55","103.740906483","1.33273097152"
"56","103.738540789","1.32177309587"
"56","103.738647647","1.32174528317"
"57","103.749353387","1.32956421968"
"57","103.749287723","1.32949584829"
"58","103.749311126","1.3293522741"
"58","103.749230368","1.32926870916"
"59","103.748002383","1.32981705776"
"59","103.748056947","1.32977699898"
"60","103.746843677","1.33113411341"
"60","103.746847241","1.33109101487"
"61","103.736994813","1.3229932192"
"61","103.737011999","1.32307882978"
"62","103.743424922","1.33643952462"
"62","103.743508915","1.33646892404"
"63","103.74065934","1.3414361892"
"63","103.740660897","1.34130282068"
"64","103.737595857","1.326954946"
"64","103.737634383","1.32697963319"
"65","103.737709923","1.32613840216"
"65","103.737759763","1.32615857591"
"66","103.747007916","1.34570279011"
"66","103.747011849","1.34565435822"
"67","103.746384789","1.3315384239"
"67","103.746432384","1.3315411811"
"68","103.740418201","1.33532937521"
"68","103.740492723","1.33530976192"
"69","103.737955431","1.32689967881"
"69","103.73798413","1.32686162237"
"70","103.748090371","1.3297525026"
"70","103.748143005","1.32970523716"
"71","103.746723374","1.3458843122"
"71","103.74677322","1.34588513227"
"72","103.740111969","1.33719994562"
"72","103.74031623","1.33712466496"
"73","103.740728294","1.33734773342"
"73","103.740779388","1.33735497108"
"74","103.739878157","1.33715119567"
"74","103.739925099","1.33716451537"
"75","103.740530981","1.33733628005"
"75","103.740350845","1.33713001589"
"76","103.740682566","1.32219328361"
"76","103.740665728","1.32209239478"
"77","103.74375604","1.33457689607"
"77","103.743675946","1.33452453629"
"78","103.745385913","1.32114800387"
"78","103.74565112","1.32104096005"
"79","103.745441011","1.32408500818"
"79","103.745475258","1.32402933419"
"80","103.744440205","1.32882812854"
"80","103.744438022","1.32877768292"
"81","103.745723032","1.32389960312"
"81","103.745916129","1.32382276138"
"82","103.744363305","1.32851357799"
"82","103.744462994","1.32862043397"
"83","103.744792687","1.32840881267"
"83","103.744842934","1.32841532186"
"84","103.734957934","1.34085974176"
"84","103.735092927","1.34104246965"
"85","103.736252607","1.34310175612"
"85","103.73629826","1.34326032914"
"86","103.737905304","1.33334714847"
"86","103.737782594","1.33345001594"
"87","103.745931733","1.32279373249"
"87","103.745932952","1.32288831597"
"88","103.745548729","1.32296891772"
"88","103.745548568","1.32282373681"
"89","103.737769948","1.33360359141"
"89","103.737764288","1.33355126313"
"90","103.73523029","1.34115586846"
"90","103.735280308","1.34115714609"
"91","103.745570778","1.32276483618"
"91","103.745714845","1.32276530346"
"92","103.735951886","1.34359230424"
"92","103.735959576","1.34354260103"
"93","103.745571225","1.32394251754"
"93","103.745668209","1.32391525779"
"94","103.745947063","1.32258063024"
"94","103.745987746","1.32255214641"
"95","103.736349495","1.34334895788"
"95","103.736398619","1.34335704532"
"96","103.744422617","1.32820422445"
"96","103.744480674","1.32814761311"
"97","103.745970416","1.32386772129"
"97","103.74602431","1.32390161675"
"98","103.745468265","1.32275329604"
"98","103.745509866","1.32277998245"
"99","103.745829223","1.32662795631"
"99","103.745882316","1.32666847047"
"100","103.735953596","1.34319873616"
"100","103.736227106","1.34309469207"
"101","103.735999641","1.34342934392"
"101","103.735954605","1.34327117583"
"102","103.745546604","1.32392255813"
"102","103.745546542","1.32381135442"
"103","103.734520323","1.34101025374"
"103","103.734569517","1.34101902125"
"104","103.734693525","1.34102954551"
"104","103.734926667","1.34085487513"
"105","103.734987656","1.34073801189"
"105","103.734991796","1.34068788459"
"106","103.744278242","1.328337334"
"106","103.744338217","1.32828270138"
"107","103.738013299","1.33334938944"
"107","103.738062146","1.33335176003"
"108","103.735814845","1.3432154105"
"108","103.735864634","1.34322394073"
"109","103.736300361","1.34333414345"
"109","103.736029363","1.34343589273"
"110","103.745918041","1.32607830845"
"110","103.745946078","1.32603704759"
"111","103.745938734","1.32379058014"
"111","103.745933078","1.32368057633"
"112","103.735088649","1.34107452066"
"112","103.734857321","1.34124908899"
"113","103.74578604","1.32277013112"
"113","103.745905347","1.32276868865"
"114","103.734851769","1.34140015531"
"114","103.734840326","1.34135070373"
"115","103.744682734","1.32846215803"
"115","103.744748905","1.32840296643"
"116","103.734826262","1.34124493088"
"116","103.734692348","1.34106231728"
"117","103.744252493","1.32839254613"
"117","103.74434541","1.32849491509"
"118","103.737750176","1.3334474087"
"118","103.737594545","1.33323874702"
"119","103.737488228","1.33321316545"
"119","103.737536984","1.333204179"
"120","103.736244146","1.3430231812"
"120","103.736250649","1.34296804746"
"121","103.744363751","1.33380927117"
"121","103.744193084","1.33363987475"
"122","103.744380336","1.3340299562"
"122","103.744389819","1.33399059125"
"123","103.744558135","1.33360648714"
"123","103.744427767","1.33342039175"
"124","103.741955366","1.33937199465"
"124","103.741884551","1.33928709352"
"125","103.743332868","1.34078228941"
"125","103.743437511","1.34093674915"
"126","103.742005862","1.33938041924"
"126","103.742178024","1.33925276583"
"127","103.743883246","1.34186874792"
"127","103.74401691","1.34176577556"
"128","103.743090845","1.34088090011"
"128","103.743276036","1.34076079612"
"129","103.74033329","1.3353283623"
"129","103.740174007","1.33515765264"
"130","103.752175357","1.3276563831"
"130","103.752214572","1.32767347297"
"131","103.751915945","1.32781775784"
"131","103.751931226","1.32777586999"
"132","103.751991177","1.32773899242"
"132","103.752111279","1.32767959783"
"133","103.752119121","1.32765105724"
"133","103.752013953","1.32743455806"
"134","103.751847856","1.32751317691"
"134","103.751952918","1.32773341829"
"135","103.751861911","1.32748868138"
"135","103.751977979","1.32743137783"
"136","103.75175801","1.32748789976"
"136","103.751808624","1.32749290541"
"137","103.751995181","1.32737940311"
"137","103.752010048","1.32733089957"
"138","103.743573521","1.33439960859"
"138","103.743666659","1.33446419911"
"139","103.744603023","1.33364385034"
"139","103.744655473","1.33364189533"
"140","103.744781755","1.33474858328"
"140","103.74498484","1.33462959491"
"141","103.745129201","1.33479522909"
"141","103.745040354","1.33464016785"
"142","103.744866087","1.33501342607"
"142","103.745101075","1.33486845373"
"143","103.745042161","1.33456540989"
"143","103.745054681","1.3345220119"
"144","103.744833961","1.33500712485"
"144","103.744746947","1.33485813133"
"145","103.744799374","1.33511341823"
"145","103.744799067","1.33515510641"
"146","103.741639185","1.33182921744"
"146","103.741598813","1.33187852523"
"147","103.741589197","1.33191640717"
"147","103.74154045","1.33192582135"
"148","103.741082804","1.33232158587"
"148","103.741080882","1.33237343619"
"149","103.743365484","1.3317456663"
"149","103.743414665","1.33178973334"
"150","103.743421073","1.33191095859"
"150","103.743375046","1.33188881038"
"151","103.745549085","1.33013492198"
"151","103.745593195","1.33016023796"
"152","103.745657063","1.3302512559"
"152","103.745656849","1.33030303155"
"153","103.747441807","1.3365609423"
"153","103.747409769","1.33659802642"
"154","103.747804638","1.33653667766"
"154","103.747840226","1.33657179447"
"155","103.747862066","1.3362220023"
"155","103.747828","1.33625740607"
"156","103.745443897","1.33517178603"
"156","103.745377459","1.33508453712"
"157","103.744415915","1.33327883564"
"157","103.744414342","1.33332812865"
"158","103.740272596","1.33185212164"
"158","103.740280924","1.33178451597"
"159","103.741150446","1.33120449348"
"159","103.741218864","1.3311804011"
"160","103.741056532","1.33129652565"
"160","103.741081398","1.3312537221"
"161","103.739029873","1.33555288052"
"161","103.739071733","1.33558484198"
"162","103.738984053","1.33516604029"
"162","103.738955249","1.33520609579"
"163","103.744407603","1.33383551637"
"163","103.744571437","1.33366654813"
"164","103.742920547","1.33533166467"
"164","103.742998799","1.33521916331"
"165","103.742990205","1.33508675405"
"165","103.743004825","1.3350261754"
"166","103.742437316","1.33505557855"
"166","103.742414961","1.33500192181"
"167","103.742201722","1.33484786952"
"167","103.742364232","1.33492835938"
"168","103.742397767","1.33491884105"
"168","103.742494937","1.33475441534"
"169","103.742468284","1.33470595092"
"169","103.742371121","1.33465229145"
"170","103.749962041","1.32364253414"
"170","103.750002145","1.32369546148"
"171","103.750041391","1.32372685336"
"171","103.750196995","1.32372064725"
"172","103.750006562","1.32375580451"
"172","103.749976995","1.32391439013"
"173","103.750175425","1.32389063163"
"173","103.750201919","1.32375285406"
"174","103.749987052","1.3239370013"
"174","103.750139715","1.32391737178"
"175","103.749813474","1.32401836209"
"175","103.749849025","1.32398103173"
"176","103.747792251","1.33648743047"
"176","103.747804653","1.33631830591"
"177","103.747783994","1.33629335236"
"177","103.747490615","1.33626423036"
"178","103.748735382","1.33656120841"
"178","103.748750319","1.33642738305"
"179","103.738689381","1.33524299644"
"179","103.738714362","1.33541573168"
"180","103.738967523","1.33547596685"
"180","103.738947804","1.33527543549"
"181","103.738917558","1.33521587072"
"181","103.738718315","1.33521718668"
