olat,olon,dlat,dlon,amount,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.54444444,1.516944444,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.50722222,1.538055556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,2,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,10,,
42.51138889,1.530555556,42.50777778,1.5325,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,6,,
42.51138889,1.530555556,42.50416667,1.527222222,2,,
42.51138889,1.530555556,42.50833333,1.523611111,1,,
42.50527778,1.517777778,42.50527778,1.517777778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,8,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,4,,
42.50722222,1.538055556,42.50722222,1.538055556,5,,
42.50722222,1.538055556,42.50722222,1.538055556,8,,
42.50722222,1.538055556,42.51138889,1.530555556,1,,
42.50722222,1.538055556,42.51083333,1.540277778,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,2,,
42.50722222,1.5225,42.50833333,1.523611111,1,,
42.50944444,1.523055556,42.50944444,1.523055556,4,,
42.50416667,1.527222222,42.50777778,1.5325,1,,
42.50416667,1.527222222,42.50833333,1.523611111,1,,
42.50416667,1.527222222,42.50416667,1.527222222,4,,
42.50416667,1.527222222,42.50777778,1.5325,1,,
42.50833333,1.523611111,42.50611111,1.520833333,1,,
42.50833333,1.523611111,42.50833333,1.523611111,2,,
42.51138889,1.530555556,42.50722222,1.538055556,1,,
42.51138889,1.530555556,42.50722222,1.538055556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.50083333,1.531111111,42.50083333,1.531111111,3,,
42.49666667,1.5125,42.49666667,1.5125,2,,
42.49666667,1.5125,42.49666667,1.5125,9,,
42.50777778,1.5325,42.50777778,1.5325,2,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.50777778,1.5325,4,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.49666667,1.5125,1,,
42.50777778,1.5325,42.50777778,1.5325,10,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.50833333,1.523611111,1,,
42.50777778,1.5325,42.51138889,1.530555556,3,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50777778,1.5325,2,,
42.50833333,1.523611111,42.50833333,1.523611111,4,,
42.50833333,1.523611111,42.50944444,1.523055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,4,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.50777778,1.5325,3,,
42.51138889,1.530555556,42.51138889,1.530555556,2,,
42.51138889,1.530555556,42.51138889,1.530555556,2,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,4,,
42.50611111,1.520833333,42.50611111,1.520833333,4,,
42.51083333,1.540277778,42.50611111,1.520833333,1,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.51083333,1.540277778,42.51083333,1.540277778,3,,
42.49666667,1.5125,42.49666667,1.5125,1,,
42.49666667,1.5125,42.50611111,1.520833333,3,,
42.49666667,1.5125,42.49666667,1.5125,1,,
42.49666667,1.5125,42.50833333,1.523611111,1,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.50777778,1.5325,2,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50777778,1.5325,42.50777778,1.5325,1,,
42.50833333,1.523611111,42.50833333,1.523611111,2,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,4,,
42.50833333,1.523611111,42.51138889,1.530555556,1,,
42.50833333,1.523611111,42.50416667,1.527222222,1,,
42.50833333,1.523611111,42.50833333,1.523611111,4,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.51138889,1.530555556,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,11,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.51083333,1.540277778,1,,
42.50722222,1.538055556,42.50083333,1.531111111,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.53638889,1.516111111,42.50722222,1.538055556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,3,,
42.51138889,1.530555556,42.51138889,1.530555556,2,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,33,,
42.51138889,1.530555556,42.50777778,1.5325,1,,
42.51138889,1.530555556,42.50833333,1.523611111,1,,
42.51138889,1.530555556,42.50777778,1.5325,1,,
42.51138889,1.530555556,42.50833333,1.523611111,1,,
42.51138889,1.530555556,42.51138889,1.530555556,4,,
42.50527778,1.517777778,42.49666667,1.5125,1,,
42.5075,1.522777778,42.5075,1.522777778,8,,
42.5075,1.522777778,42.5075,1.522777778,2,,
42.5075,1.522777778,42.50722222,1.538055556,1,,
42.5075,1.522777778,42.51138889,1.530555556,1,,
42.5075,1.522777778,42.5075,1.522777778,1,,
42.5075,1.522777778,42.5075,1.522777778,1,,
42.5075,1.522777778,42.5075,1.522777778,2,,
42.5075,1.522777778,42.5075,1.522777778,20,,
42.5075,1.522777778,42.50722222,1.538055556,1,,
42.5075,1.522777778,42.50833333,1.523611111,1,,
42.5075,1.522777778,42.50944444,1.523055556,1,,
42.5075,1.522777778,42.5075,1.522777778,6,,
42.5075,1.522777778,42.49666667,1.5125,1,,
42.5075,1.522777778,42.5075,1.522777778,1,,
42.5075,1.522777778,42.5075,1.522777778,33,,
42.51083333,1.540277778,42.51083333,1.540277778,3,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.50722222,1.538055556,1,,
42.51083333,1.540277778,42.51083333,1.540277778,2,,
42.51083333,1.540277778,42.50722222,1.538055556,1,,
42.51083333,1.540277778,42.51083333,1.540277778,5,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,8,,
42.51083333,1.540277778,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.50777778,1.5325,3,,
42.50777778,1.5325,42.50611111,1.520833333,1,,
42.50777778,1.5325,42.50833333,1.523611111,1,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50722222,1.538055556,42.5075,1.522777778,1,,
42.50722222,1.538055556,42.50722222,1.538055556,2,,
42.50722222,1.538055556,42.51083333,1.540277778,1,,
42.49666667,1.5125,42.49666667,1.5125,1,,
42.49666667,1.5125,42.49666667,1.5125,3,,
42.50944444,1.523055556,42.50944444,1.523055556,2,,
42.50944444,1.523055556,42.50833333,1.523611111,1,,
42.50416667,1.527222222,42.5075,1.522777778,1,,
42.50416667,1.527222222,42.50416667,1.527222222,7,,
42.50416667,1.527222222,42.50833333,1.523611111,1,,
42.50611111,1.520833333,42.50611111,1.520833333,1,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.51138889,1.530555556,1,,
42.50833333,1.523611111,42.5075,1.522777778,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50083333,1.531111111,1,,
42.51138889,1.530555556,42.51083333,1.540277778,1,,
42.51138889,1.530555556,42.50777778,1.5325,1,,
42.51138889,1.530555556,42.50777778,1.5325,1,,
42.51138889,1.530555556,42.51138889,1.530555556,6,,
42.51138889,1.530555556,42.50777778,1.5325,1,,
42.51138889,1.530555556,42.51138889,1.530555556,5,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.50083333,1.531111111,42.50083333,1.531111111,1,,
42.50083333,1.531111111,42.50083333,1.531111111,1,,
42.50083333,1.531111111,42.50611111,1.520833333,1,,
42.54666667,1.563611111,42.51083333,1.540277778,1,,
42.49666667,1.5125,42.49666667,1.5125,2,,
42.49666667,1.5125,42.49666667,1.5125,2,,
42.50777778,1.5325,42.51138889,1.530555556,1,,
42.50777778,1.5325,42.50777778,1.5325,2,,
42.50833333,1.523611111,42.50833333,1.523611111,2,,
42.50833333,1.523611111,42.50833333,1.523611111,9,,
42.50833333,1.523611111,42.50833333,1.523611111,6,,
42.50833333,1.523611111,42.50944444,1.523055556,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.50833333,1.523611111,1,,
42.50833333,1.523611111,42.5075,1.522777778,1,,
42.50833333,1.523611111,42.50833333,1.523611111,5,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.51083333,1.540277778,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,1,,
42.50722222,1.538055556,42.51138889,1.530555556,1,,
42.50722222,1.538055556,42.50722222,1.538055556,6,,
42.51138889,1.530555556,42.5075,1.522777778,1,,
42.51138889,1.530555556,42.51138889,1.530555556,1,,
42.51138889,1.530555556,42.51138889,1.530555556,3,,
42.51138889,1.530555556,42.51138889,1.530555556,3,,
42.50611111,1.520833333,42.50833333,1.523611111,1,,
42.50611111,1.520833333,42.50416667,1.527222222,1,,
42.50611111,1.520833333,42.49666667,1.5125,1,,
42.50611111,1.520833333,42.50527778,1.517777778,1,,
42.50611111,1.520833333,42.49666667,1.5125,1,,
42.50611111,1.520833333,42.50611111,1.520833333,3,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
42.51083333,1.540277778,42.51083333,1.540277778,1,,
