"shapeid","x","y"
"47","1.5231737","42.5051794"
"47","1.523457","42.505177"
"47","1.5239351","42.5054932"
"47","1.5233915","42.5066483"
"48","1.5185913","42.5049613"
"48","1.5212555","42.5053991"
"48","1.5213982","42.5055477"
"48","1.52115158818","42.5058194874"
"49","1.5505973","42.5122138"
"49","1.55087294","42.5123541"
"50","1.5252696","42.5101907"
"50","1.5229511","42.5100735"
"51","1.5229511","42.5100735"
"51","1.5229683","42.5097762"
"51","1.5238094","42.5098521"
"51","1.5249489","42.5097279"
"52","1.5269347","42.5106779"
"52","1.5263167","42.5102667"
"52","1.5257235","42.5101115"
"52","1.5252696","42.5101907"
"53","1.5260335","42.5097731"
"53","1.5262995","42.5096529"
"53","1.5271583","42.5100742"
"53","1.529128","42.5108287"
"53","1.5294479","42.5108161"
"53","1.5295912","42.5105669"
"53","1.5296097","42.510442"
"53","1.5293738","42.5101664"
"53","1.5282253","42.5090701"
"53","1.5278653","42.5087938"
"54","1.5271704","42.5072212"
"54","1.5275057","42.5072524"
"55","1.5335115","42.5099976"
"55","1.5334652","42.5099415"
"56","1.5310876","42.509245"
"56","1.53054989596","42.5092804974"
"57","1.530382","42.5092607"
"57","1.5294462","42.5090464"
"58","1.5318587","42.5094793"
"58","1.5324173","42.5096747"
"58","1.5335027","42.5098665"
"59","1.5342894","42.5119843"
"59","1.5348816","42.5122627"
"59","1.5351176","42.5127823"
"60","1.533304","42.5105125"
"60","1.531456","42.5098591"
"60","1.5305382","42.5093771"
"60","1.5294462","42.5090464"
"61","1.5239675","42.5188267"
"61","1.5242943","42.5171577"
"61","1.524835","42.5158292"
"61","1.5266117","42.5143804"
"61","1.5289978","42.5132163"
"61","1.5320018","42.5118054"
"61","1.5330302","42.5108015"
"62","1.5330302","42.5108015"
"62","1.5331983","42.5105444"
"63","1.5290222","42.5088559"
"63","1.5280361","42.5081503"
"63","1.5277302","42.5077051"
"63","1.5276183","42.5075377"
"63","1.5271704","42.5072212"
"64","1.5238612","42.5197179"
"64","1.5239675","42.5188267"
"65","1.5300279","42.5160733"
"65","1.5304628","42.5159084"
"65","1.5313732","42.5152199"
"65","1.5320656","42.51468"
"65","1.5325463","42.5141549"
"65","1.5334181","42.5137844"
"65","1.5340397","42.5136234"
"66","1.5336649","42.51012"
"66","1.5334803","42.5103"
"67","1.5339653","42.5101014"
"67","1.5354089","42.5111322"
"67","1.5359484","42.5113924"
"68","1.5335027","42.5098665"
"68","1.5339653","42.5101014"
"69","1.521744","42.5082963"
"69","1.5214542","42.5084864"
"69","1.5212345","42.5086436"
"70","1.5212489","42.5078944"
"70","1.520436","42.5075991"
"70","1.5202615","42.5075357"
"71","1.5278653","42.5087938"
"71","1.527405","42.508557"
"71","1.5264536","42.5084861"
"71","1.5258146","42.5083394"
"71","1.5257534","42.5081765"
"72","1.5283093","42.5066137"
"72","1.5285423","42.5064289"
"72","1.5288998","42.5061395"
"72","1.5291857","42.5058964"
"73","1.5190029","42.5069732"
"73","1.5189087","42.5068955"
"73","1.5188182","42.5068208"
"73","1.5179987","42.5061"
"73","1.5170288","42.5058912"
"73","1.5161533","42.5054483"
"73","1.5150258","42.5050573"
"73","1.5149517","42.5048345"
"74","1.5149517","42.5048345"
"74","1.5147121","42.5043818"
"74","1.5135269","42.5032905"
"74","1.5133322","42.5029569"
"74","1.5117043","42.5017199"
"74","1.5113297","42.5014491"
"74","1.5104411","42.5010971"
"74","1.5103129","42.501063"
"74","1.5100891","42.5009654"
"74","1.5090308","42.5004396"
"75","1.5231282","42.5082902"
"75","1.5233469","42.5084677"
"75","1.5222559","42.509193"
"75","1.5228274","42.5094388"
"76","1.5147121","42.5043818"
"76","1.514939","42.5043383"
"76","1.5152746","42.5047793"
"76","1.5157606","42.5050862"
"76","1.5162494","42.5051258"
"76","1.51705","42.5054379"
"76","1.5178607","42.5054727"
"77","1.5192301","42.503694"
"77","1.5189267","42.5036265"
"78","1.53086","42.5075208"
"78","1.5300102","42.5073942"
"78","1.5294368","42.5070424"
"78","1.5290038","42.5067291"
"78","1.5285423","42.5064289"
"79","1.5353307","42.5098972"
"79","1.5366236","42.5099776"
"79","1.5379204","42.5100631"
"79","1.5387345","42.5101191"
"80","1.5387912","42.5100604"
"80","1.5387719","42.5095447"
"81","1.5387345","42.5101191"
"81","1.5387912","42.5100604"
"81","1.5388566","42.5101243"
"81","1.5388248","42.5101504"
"81","1.5387345","42.5101191"
"82","1.5407846","42.5096185"
"82","1.540333","42.5096112"
"83","1.540157","42.5096862"
"83","1.5401198","42.5095911"
"83","1.5403116","42.509573"
"83","1.540333","42.5096112"
"83","1.540157","42.5096862"
"84","1.5387748","42.5094192"
"84","1.538779","42.5086758"
"85","1.5387719","42.5095447"
"85","1.5387057","42.5094594"
"85","1.5387748","42.5094192"
"85","1.5388709","42.5094931"
"85","1.5387719","42.5095447"
"86","1.5387057","42.5094594"
"86","1.5378958","42.5093867"
"86","1.5366842","42.5093098"
"86","1.5353619","42.5092465"
"86","1.534026","42.5091369"
"87","1.5454162","42.5094606"
"87","1.5463561","42.5098353"
"87","1.5463824","42.5101505"
"87","1.5463231","42.5103894"
"87","1.5467029","42.5110207"
"87","1.547805","42.511357"
"87","1.549541","42.5117526"
"87","1.5501504","42.5120373"
"88","1.5316699","42.5090736"
"88","1.5308096","42.5087569"
"89","1.5427955","42.5145044"
"89","1.5440779","42.5144425"
"89","1.5443354","42.5142148"
"89","1.5436487","42.5140946"
"89","1.5404988","42.5141641"
"89","1.5403357","42.5140313"
"89","1.5408163","42.5138288"
"89","1.5417915","42.5135899"
"89","1.5420724","42.5133393"
"89","1.5420799","42.5132181"
"90","1.542137","42.5088767"
"90","1.5421272","42.5090724"
"90","1.5421256","42.5091026"
"91","1.5392005","42.5105683"
"91","1.5390088","42.5103579"
"92","1.5390088","42.5103579"
"92","1.5388248","42.5101504"
"93","1.541063","42.5103493"
"93","1.5409616","42.5101305"
"94","1.5100891","42.5009654"
"94","1.509601","42.501122"
"94","1.5086898","42.5011981"
"94","1.5080595","42.501394"
"95","1.5234144","42.5077958"
"95","1.5232572","42.5078617"
"95","1.5230099","42.508057"
"95","1.5231282","42.5082902"
"95","1.5224687","42.508486"
"95","1.521744","42.5082963"
"96","1.521744","42.5082963"
"96","1.5212489","42.5078944"
"97","1.5159078","42.5063589"
"97","1.5162013","42.5062791"
"98","1.5170339","42.5065385"
"98","1.5163387","42.5065322"
"98","1.5160217","42.5063819"
"99","1.5132831","42.5052604"
"99","1.5144437","42.5058248"
"99","1.5148538","42.5063297"
"99","1.5159078","42.5063589"
"100","1.5133332","42.503937"
"100","1.5143686","42.5049535"
"100","1.5144919","42.5049905"
"101","1.526165","42.5051494"
"101","1.5260795","42.5054634"
"102","1.5338023","42.509811"
"102","1.534026","42.5091369"
"102","1.5341177","42.5084671"
"103","1.5341177","42.5084671"
"103","1.5354638","42.5085796"
"103","1.5363681","42.5086348"
"103","1.5367546","42.5086598"
"103","1.5374154","42.508712"
