"shapeid","osm_id","name","ref","type","oneway","bridge","tunnel","maxspeed"
"7147","100222415","NULL","NULL","residential","0","0","0","NULL"
"7148","100222416","NULL","NULL","residential","0","0","0","NULL"
"7149","100222417","NULL","NULL","residential","0","0","0","NULL"
"7150","100222418","NULL","NULL","residential","0","0","0","NULL"
"7151","100222419","Paseo de las Flores","NULL","residential","0","0","0","NULL"
"7152","100222420","NULL","NULL","residential","0","0","0","NULL"
"7153","100222421","NULL","NULL","residential","0","0","0","NULL"
"7154","100222423","NULL","NULL","residential","0","0","0","NULL"
"7155","100222424","NULL","NULL","residential","0","0","0","NULL"
"7156","100222425","NULL","NULL","residential","0","0","0","NULL"
"7157","100222426","NULL","NULL","residential","0","0","0","NULL"
"7158","100222428","NULL","NULL","residential","0","0","0","NULL"
"7159","100222429","NULL","NULL","tertiary","0","0","0","NULL"
"7160","100222430","NULL","NULL","residential","0","0","0","NULL"
"7161","100222433","NULL","NULL","residential","0","0","0","NULL"
"7162","100222434","NULL","NULL","residential","0","0","0","NULL"
"7163","100222435","NULL","NULL","residential","0","0","0","NULL"
"7164","100222436","NULL","NULL","residential","0","0","0","NULL"
"7165","100222437","NULL","NULL","residential","0","0","0","NULL"
"7166","100222438","NULL","NULL","residential","0","0","0","NULL"
"7167","100222439","NULL","NULL","residential","0","0","0","NULL"
"7168","100222440","NULL","NULL","residential","0","0","0","NULL"
"7169","100222441","NULL","NULL","residential","0","0","0","NULL"
"7170","100222442","NULL","NULL","residential","0","0","0","NULL"
"7171","100222443","NULL","NULL","residential","0","0","0","NULL"
"7172","100222444","NULL","NULL","residential","0","0","0","NULL"
"7173","100222445","NULL","NULL","residential","0","0","0","NULL"
"7174","100222446","NULL","NULL","residential","0","0","0","NULL"
"7175","100222447","NULL","NULL","residential","0","0","0","NULL"
"7176","100222448","NULL","NULL","residential","0","0","0","NULL"
"7177","100222449","NULL","NULL","residential","0","0","0","NULL"
"7178","100222450","Paseo de las Flores","NULL","residential","0","0","0","NULL"
"7179","100222451","NULL","NULL","unclassified","0","0","0","NULL"
"7180","100222452","NULL","NULL","residential","0","0","0","NULL"
"7181","100222453","NULL","NULL","residential","0","0","0","NULL"
"7182","100222454","NULL","NULL","residential","0","0","0","NULL"
"7183","100222455","NULL","NULL","residential","0","0","0","NULL"
"7184","100222456","NULL","NULL","residential","0","0","0","NULL"
"7185","100222457","NULL","NULL","residential","0","0","0","NULL"
"7186","100222458","NULL","NULL","residential","0","0","0","NULL"
"7187","100222459","NULL","NULL","residential","0","0","0","NULL"
"7188","100222461","NULL","NULL","residential","0","0","0","NULL"
"7189","100222462","NULL","NULL","residential","0","0","0","NULL"
"7190","100222463","NULL","NULL","residential","0","0","0","NULL"
"7191","100222464","NULL","NULL","residential","0","0","0","NULL"
"7192","100222465","NULL","NULL","service","0","0","0","NULL"
"7193","100222466","NULL","NULL","residential","0","0","0","NULL"
"7194","100222467","NULL","NULL","residential","0","0","0","NULL"
"7195","100222468","NULL","NULL","residential","0","0","0","NULL"
"7196","100222469","NULL","NULL","residential","0","0","0","NULL"
"7197","100222470","NULL","NULL","residential","0","0","0","NULL"
"7198","100222471","NULL","NULL","residential","0","0","0","NULL"
"7199","100222472","NULL","NULL","residential","0","0","0","NULL"
"7200","100222473","NULL","NULL","residential","0","0","0","NULL"
"7201","100222474","NULL","NULL","residential","0","0","0","NULL"
"7202","100222475","NULL","NULL","residential","0","0","0","NULL"
"7203","100222476","NULL","NULL","residential","0","0","0","NULL"
"7204","100222477","NULL","NULL","residential","0","0","0","NULL"
"7205","100222478","NULL","NULL","residential","0","0","0","NULL"
"7206","100222479","NULL","NULL","residential","0","0","0","NULL"
"7207","100222480","NULL","NULL","residential","0","0","0","NULL"
"7208","100222481","NULL","NULL","residential","0","0","0","NULL"
"7209","100222482","NULL","NULL","residential","0","0","0","NULL"
"7210","100222484","NULL","NULL","residential","0","0","0","NULL"
"7211","100222485","NULL","NULL","residential","0","0","0","NULL"
"7212","100222486","NULL","NULL","residential","0","0","0","NULL"
"7213","100222487","NULL","NULL","residential","0","0","0","NULL"
"7214","100222488","NULL","NULL","residential","0","0","0","NULL"
"7215","100222489","NULL","NULL","residential","0","0","0","NULL"
"7216","100222490","NULL","NULL","residential","0","0","0","NULL"
"7217","100222491","NULL","NULL","residential","0","0","0","NULL"
"7218","100222492","NULL","NULL","residential","0","0","0","NULL"
"7219","100222493","NULL","NULL","unclassified","0","0","0","NULL"
"7220","100222494","NULL","NULL","residential","0","0","0","NULL"
"7221","100222496","NULL","NULL","residential","0","0","0","NULL"
"7222","100222497","NULL","NULL","residential","0","0","0","NULL"
"7223","100222498","NULL","NULL","residential","0","0","0","NULL"
"7224","100222499","NULL","NULL","residential","0","0","0","NULL"
"7225","100222500","NULL","NULL","residential","1","0","0","NULL"
"7226","100222501","NULL","NULL","residential","0","0","0","NULL"
"7227","100222502","NULL","NULL","residential","0","0","0","NULL"
"7228","100222503","NULL","NULL","residential","0","0","0","NULL"
"7229","100222504","NULL","NULL","residential","0","0","0","NULL"
"7230","100222505","NULL","NULL","residential","0","0","0","NULL"
"7231","100222506","NULL","NULL","residential","0","0","0","NULL"
"7232","100222507","NULL","NULL","residential","0","0","0","NULL"
"7233","100222508","NULL","NULL","residential","0","0","0","NULL"
"7234","100222509","NULL","NULL","residential","0","0","0","NULL"
"7235","100222510","NULL","NULL","residential","0","0","0","NULL"
"7236","100222511","NULL","NULL","residential","0","0","0","NULL"
"7237","100222512","NULL","NULL","residential","0","0","0","NULL"
"7238","100222513","NULL","NULL","residential","0","0","0","NULL"
"7239","100222514","NULL","NULL","residential","0","0","0","NULL"
"7240","100222515","NULL","NULL","residential","0","0","0","NULL"
"7241","100222516","NULL","NULL","residential","0","0","0","NULL"
"7242","100222517","NULL","NULL","residential","0","0","0","NULL"
"7243","100222518","NULL","NULL","residential","0","0","0","NULL"
"7244","100222519","NULL","NULL","residential","0","0","0","NULL"
"7245","100222520","NULL","NULL","residential","0","0","0","NULL"
"7246","100222521","NULL","NULL","unclassified","0","0","0","NULL"
"7247","100222522","NULL","NULL","residential","0","0","0","NULL"
"7248","100222523","NULL","NULL","residential","0","0","0","NULL"
"7249","100222524","NULL","NULL","residential","0","0","0","NULL"
"7250","100222525","NULL","NULL","residential","0","0","0","NULL"
"7251","100286205","NULL","NULL","unclassified","0","0","0","NULL"
"7252","100286206","NULL","NULL","residential","0","0","0","NULL"
"7253","100286207","NULL","NULL","unclassified","0","0","0","NULL"
"7254","100286209","NULL","NULL","residential","0","0","0","NULL"
"7255","100286210","Santa Graciela","NULL","residential","0","0","0","NULL"
"7256","100286214","NULL","NULL","residential","0","0","0","NULL"
"7257","100286215","NULL","NULL","residential","0","0","0","NULL"
"7258","100286216","NULL","NULL","residential","0","0","0","NULL"
"7259","100286219","NULL","NULL","unclassified","0","0","0","NULL"
"7260","100286220","NULL","NULL","residential","0","0","0","NULL"
"7261","100286221","NULL","NULL","unclassified","0","0","0","NULL"
"7262","100286223","NULL","NULL","unclassified","0","0","0","NULL"
"7263","100286225","San Juan","NULL","residential","0","0","0","NULL"
"7264","100286227","NULL","NULL","residential","0","0","0","NULL"
"7265","100286228","NULL","NULL","residential","0","0","0","NULL"
"7266","100286229","Los Albañiles","NULL","service","0","0","0","NULL"
"7267","100286234","NULL","NULL","unclassified","0","0","0","NULL"
"7268","100286235","NULL","NULL","residential","0","0","0","NULL"
"7269","100286236","NULL","NULL","residential","0","0","0","NULL"
"7270","100286237","NULL","NULL","residential","0","0","0","NULL"
"7271","100286240","Alfredo V. Bonfil","NULL","residential","0","0","0","NULL"
"7272","100286241","NULL","NULL","residential","0","0","0","NULL"
"7273","100286242","NULL","NULL","residential","0","0","0","NULL"
"7274","100286244","12 de Diciembre","NULL","residential","0","0","0","NULL"
"7275","100286245","Casiopea","NULL","residential","0","0","0","NULL"
"7276","100286246","12 de Diciembre","NULL","residential","0","0","0","NULL"
"7277","100286247","Escuela de Trabajo Social","NULL","residential","0","0","0","NULL"
"7278","100286248","Brigada de Arquitectura","NULL","residential","0","0","0","NULL"
"7279","100286249","NULL","NULL","residential","0","0","0","NULL"
"7280","100286250","NULL","NULL","residential","0","0","0","NULL"
"7281","100286251","NULL","NULL","track","0","0","0","NULL"
"7282","100286252","NULL","NULL","residential","0","0","0","NULL"
"7283","100286253","NULL","NULL","unclassified","0","0","0","NULL"
"7284","100286254","NULL","NULL","unclassified","0","0","0","NULL"
"7285","100286255","NULL","NULL","residential","0","0","0","NULL"
"7286","100286256","NULL","NULL","residential","0","0","0","NULL"
"7287","100286257","NULL","NULL","residential","0","0","0","NULL"
"7288","100286258","NULL","NULL","residential","0","0","0","NULL"
"7289","100286259","NULL","NULL","residential","0","0","0","NULL"
"7290","100286260","NULL","NULL","residential","0","0","0","NULL"
"7291","100286261","Sierra Paracaima","NULL","residential","0","0","0","NULL"
"7292","100286263","NULL","NULL","unclassified","0","0","0","NULL"
"7293","100286264","NULL","NULL","residential","0","0","0","NULL"
"7294","100286265","NULL","NULL","unclassified","0","0","0","NULL"
"7295","100286266","NULL","NULL","residential","0","0","0","NULL"
"7296","100286267","NULL","NULL","residential","0","0","0","NULL"
"7297","100286269","NULL","NULL","residential","0","0","0","NULL"
"7298","100286271","Juan Diego","NULL","residential","0","0","0","NULL"
"7299","100286272","NULL","NULL","residential","0","0","0","NULL"
"7300","100286273","Santa Elena","NULL","residential","0","0","0","NULL"
"7301","100286274","NULL","NULL","residential","0","0","0","NULL"
"7302","100286275","NULL","NULL","service","0","0","0","NULL"
"7303","100286276","NULL","NULL","unclassified","0","0","0","NULL"
"7304","100286277","NULL","NULL","residential","0","0","0","NULL"
"7305","100286279","NULL","NULL","residential","0","0","0","NULL"
"7306","100286280","Leobardo Aguilar Rodríguez","NULL","residential","0","0","0","NULL"
"7307","100286281","NULL","NULL","residential","0","0","0","NULL"
"7308","100286282","NULL","NULL","residential","0","0","0","NULL"
"7309","100286283","NULL","NULL","unclassified","0","0","0","NULL"
"7310","100286284","NULL","NULL","residential","0","0","0","NULL"
"7311","100286285","NULL","NULL","residential","0","0","0","NULL"
"7312","100286286","NULL","NULL","unclassified","0","0","0","NULL"
"7313","100286287","NULL","NULL","unclassified","0","0","0","NULL"
"7314","100286288","NULL","NULL","residential","0","0","0","NULL"
"7315","100286289","San Juan","NULL","residential","0","0","0","NULL"
"7316","100286290","NULL","NULL","residential","0","0","0","NULL"
"7317","100286291","NULL","NULL","residential","0","0","0","NULL"
"7318","100286292","NULL","NULL","residential","0","0","0","NULL"
"7319","100286293","NULL","NULL","unclassified","0","0","0","NULL"
"7320","100286294","12 de Diciembre","NULL","residential","0","0","0","NULL"
"7321","100286295","NULL","NULL","residential","0","0","0","NULL"
"7322","100286296","NULL","NULL","residential","0","0","0","NULL"
"7323","100286297","NULL","NULL","residential","0","0","0","NULL"
"7324","100286298","NULL","NULL","unclassified","0","0","0","NULL"
"7325","100286299","NULL","NULL","residential","0","0","0","NULL"
"7326","100286300","NULL","NULL","residential","0","0","0","NULL"
"7327","100286301","NULL","NULL","residential","0","0","0","NULL"
"7328","100286302","NULL","NULL","residential","0","0","0","NULL"
"7329","100286303","NULL","NULL","residential","0","0","0","NULL"
"7330","100286304","NULL","NULL","unclassified","0","0","0","NULL"
"7331","100286305","NULL","NULL","residential","0","0","0","NULL"
"7332","100286306","NULL","NULL","unclassified","0","0","0","NULL"
"7333","100286307","NULL","NULL","residential","0","0","0","NULL"
"7334","100286308","NULL","NULL","secondary","0","0","0","NULL"
"7335","100286309","NULL","NULL","residential","0","0","0","NULL"
"7336","100286311","NULL","NULL","residential","0","0","0","NULL"
"7337","100286312","NULL","NULL","residential","0","0","0","NULL"
"7338","100286313","NULL","NULL","residential","0","0","0","NULL"
"7339","100286314","NULL","NULL","residential","0","0","0","NULL"
"7340","100286315","NULL","NULL","residential","0","0","0","NULL"
"7341","100286316","NULL","NULL","unclassified","0","0","0","NULL"
"7342","100341303","NULL","NULL","pedestrian","0","0","0","NULL"
"7343","100341304","3a.","NULL","pedestrian","0","0","0","NULL"
"7344","100341309","NULL","NULL","service","0","0","0","NULL"
"7345","100341311","NULL","NULL","pedestrian","0","0","0","NULL"
"7346","100341313","3a.","NULL","residential","0","0","0","NULL"
"7347","100341315","NULL","NULL","residential","0","0","0","NULL"
"7348","100341316","Guanajuato","NULL","pedestrian","0","0","0","NULL"
"7349","100341317","NULL","NULL","pedestrian","0","0","0","NULL"
"7350","100345941","Canceles","NULL","residential","0","0","0","NULL"
"7351","100345944","Talavera","NULL","residential","0","0","0","NULL"
"7352","100345954","NULL","NULL","unclassified","0","0","0","NULL"
"7353","100345955","NULL","NULL","unclassified","0","0","0","NULL"
"7354","100345959","NULL","NULL","unclassified","0","0","0","NULL"
"7355","100349896","NULL","NULL","unclassified","0","0","0","NULL"
"7356","100531819","Francisco de Urdiñola","NULL","secondary","0","0","0","NULL"
"7357","100532930","NULL","NULL","residential","0","0","0","NULL"
"7358","100532931","NULL","NULL","residential","0","0","0","NULL"
"7359","100532932","NULL","NULL","residential","0","0","0","NULL"
"7360","100748438","NULL","NULL","pedestrian","0","0","0","NULL"
"7361","100748443","Antonio Narro","NULL","secondary","1","0","0","NULL"
"7362","100761150","NULL","NULL","service","0","0","0","NULL"
"7363","100761154","NULL","NULL","service","0","0","0","NULL"
"7364","100761155","NULL","NULL","service","0","0","0","NULL"
"7365","100761157","NULL","NULL","service","0","0","0","NULL"
"7366","100761158","Melchor Ocampo","NULL","unclassified","1","0","0","NULL"
"7367","100761300","5 de Mayo","NULL","service","0","0","0","NULL"
"7368","100762238","NULL","NULL","service","0","0","0","NULL"
"7369","100762239","NULL","NULL","service","0","0","0","NULL"
"7370","100762242","NULL","NULL","service","0","0","0","NULL"
"7371","100762243","NULL","NULL","service","0","0","0","NULL"
"7372","100762244","NULL","NULL","service","0","0","0","NULL"
"7373","100762249","NULL","NULL","service","0","0","0","NULL"
"7374","100762250","NULL","NULL","service","0","0","0","NULL"
"7375","100762252","NULL","NULL","service","0","0","0","NULL"
"7376","100762253","NULL","NULL","service","0","0","0","NULL"
"7377","100762255","NULL","NULL","service","0","0","0","NULL"
"7378","100763255","NULL","NULL","trunk_link","1","0","0","NULL"
"7379","100763783","NULL","NULL","residential","0","0","0","NULL"
"7380","100763810","José María Morelos","NULL","tertiary","1","0","0","NULL"
"7381","100814129","NULL","NULL","residential","0","0","0","NULL"
"7382","100814134","NULL","NULL","residential","0","0","0","NULL"
"7383","100814135","NULL","NULL","residential","0","0","0","NULL"
"7384","100814137","NULL","NULL","residential","0","0","0","NULL"
"7385","100814138","NULL","NULL","residential","0","0","0","NULL"
"7386","100814140","Gustavo Díaz Ordaz","NULL","tertiary","0","0","0","NULL"
"7387","100814141","NULL","NULL","residential","0","0","0","NULL"
"7388","100814142","NULL","NULL","residential","0","0","0","NULL"
"7389","100814144","NULL","NULL","residential","0","0","0","NULL"
"7390","100814146","NULL","NULL","residential","0","0","0","NULL"
"7391","100814147","NULL","NULL","residential","0","0","0","NULL"
"7392","100814148","NULL","NULL","residential","0","0","0","NULL"
