,country,date,hour,origin_lat,origin_lon,origin_container,destination_lat,destination_lon,destination_container,amount
10921,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,3
10923,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,21
11001,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50611111,1.520833333,0,1
11065,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,2
11195,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,2
11252,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
11254,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,15
11585,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
11648,fr,2015.07.12,0,42.54444444,1.516944444,2,42.51138889,1.530555556,0,1
12245,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
12247,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
12849,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
12909,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
13178,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,1
13240,fr,2015.07.12,0,42.54444444,1.516944444,2,42.54444444,1.516944444,2,3
13419,fr,2015.07.12,0,42.54444444,1.516944444,2,42.5525,1.514444444,2,2
13515,fr,2015.07.12,0,42.54444444,1.516944444,2,42.55722222,1.497777778,2,1
13571,fr,2015.07.12,0,42.55277778,1.533611111,2,42.55277778,1.533611111,2,21
13839,fr,2015.07.12,0,42.55277778,1.533611111,2,42.54444444,1.516944444,2,1
13841,fr,2015.07.12,0,42.55277778,1.533611111,2,42.55277778,1.533611111,2,1
14704,fr,2015.07.12,0,42.4875,1.490555556,1,42.43194444,1.469166667,1,1
14895,fr,2015.07.12,0,42.4875,1.490555556,1,42.4875,1.490555556,1,3
15226,fr,2015.07.12,0,42.57555556,1.670277778,5,42.57555556,1.670277778,5,11
15235,fr,2015.07.12,0,42.57555556,1.670277778,5,42.57916667,1.639166667,5,1
15557,fr,2015.07.12,0,42.57555556,1.670277778,5,42.57555556,1.670277778,5,1
15888,fr,2015.07.12,0,42.57555556,1.670277778,5,42.57555556,1.670277778,5,6
16550,fr,2015.07.12,0,42.53638889,1.516111111,2,42.53638889,1.516111111,2,15
16719,fr,2015.07.12,0,42.53638889,1.516111111,2,42.5525,1.514444444,2,12
16881,fr,2015.07.12,0,42.53638889,1.516111111,2,42.53638889,1.516111111,2,34
17049,fr,2015.07.12,0,42.53638889,1.516111111,2,42.5525,1.514444444,2,1
17137,fr,2015.07.12,0,42.53638889,1.516111111,2,42.54444444,1.516944444,2,1
17213,fr,2015.07.12,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,1
17542,fr,2015.07.12,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,1
17543,fr,2015.07.12,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,17
17702,fr,2015.07.12,0,42.55722222,1.497777778,2,42.58083333,1.4775,2,1
17874,fr,2015.07.12,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,1
18205,fr,2015.07.12,0,42.57916667,1.639166667,5,42.57916667,1.639166667,5,101
18228,fr,2015.07.12,0,42.57916667,1.639166667,5,42.57777778,1.6625,5,3
18421,fr,2015.07.12,0,42.57916667,1.639166667,5,42.56416667,1.664444444,5,1
18536,fr,2015.07.12,0,42.57916667,1.639166667,5,42.57916667,1.639166667,5,1
18867,fr,2015.07.12,0,42.57916667,1.639166667,5,42.57916667,1.639166667,5,7
19529,fr,2015.07.12,0,42.47583333,1.489722222,1,42.47583333,1.489722222,1,1
20191,fr,2015.07.12,0,42.54388889,1.730555556,6,42.54388889,1.730555556,6,73
20373,fr,2015.07.12,0,42.54388889,1.730555556,6,42.54222222,1.734722222,6,1
20407,fr,2015.07.12,0,42.54388889,1.730555556,6,42.54388889,1.730555556,6,1
20457,fr,2015.07.12,0,42.54388889,1.730555556,6,42.53861111,1.733055556,6,2
21515,fr,2015.07.12,0,42.54694444,1.698611111,6,42.54694444,1.698611111,6,4
21715,fr,2015.07.12,0,42.54694444,1.698611111,6,42.57777778,1.6625,5,1
23455,fr,2015.07.12,0,42.535,1.5875,4,42.53444444,1.58,4,1
23458,fr,2015.07.12,0,42.535,1.5875,4,42.53444444,1.58,4,1
23501,fr,2015.07.12,0,42.535,1.5875,4,42.535,1.5875,4,11
23517,fr,2015.07.12,0,42.535,1.5875,4,42.55333333,1.589166667,4,1
23703,fr,2015.07.12,0,42.535,1.5875,4,42.535,1.5875,4,6
23733,fr,2015.07.12,0,42.535,1.5875,4,42.53444444,1.58,4,2
23832,fr,2015.07.12,0,42.53194444,1.562777778,4,42.53194444,1.562777778,4,5
23874,fr,2015.07.12,0,42.53194444,1.562777778,4,42.50527778,1.546666667,4,3
24494,fr,2015.07.12,0,42.57722222,1.662777778,5,42.57722222,1.662777778,5,8
24825,fr,2015.07.12,0,42.57888889,1.631111111,5,42.57888889,1.631111111,5,21
24837,fr,2015.07.12,0,42.57888889,1.631111111,5,42.55333333,1.589166667,4,5
25094,fr,2015.07.12,0,42.51527778,1.527222222,0,42.50777778,1.5325,0,1
25156,fr,2015.07.12,0,42.51527778,1.527222222,0,42.51527778,1.527222222,0,70
25281,fr,2015.07.12,0,42.51527778,1.527222222,0,42.48472222,1.493611111,1,1
25463,fr,2015.07.12,0,42.52444444,1.520833333,2,42.55722222,1.497777778,2,1
25487,fr,2015.07.12,0,42.52444444,1.520833333,2,42.52444444,1.520833333,2,2
25550,fr,2015.07.12,0,42.52444444,1.520833333,2,42.52444444,1.520833333,2,1
25795,fr,2015.07.12,0,42.57777778,1.6625,5,42.57916667,1.639166667,5,1
25818,fr,2015.07.12,0,42.57777778,1.6625,5,42.57777778,1.6625,5,6
26067,fr,2015.07.12,0,42.57777778,1.6625,5,42.53861111,1.733055556,6,1
27142,fr,2015.07.12,0,42.44805556,1.4825,1,42.44805556,1.4825,1,3
27246,fr,2015.07.12,0,42.44805556,1.4825,1,42.43194444,1.469166667,1,2
27473,fr,2015.07.12,0,42.44194444,1.463611111,1,42.44194444,1.463611111,1,5
27906,fr,2015.07.12,0,42.43583333,1.474166667,1,42.43194444,1.469166667,1,2
28135,fr,2015.07.12,0,42.47416667,1.505555556,1,42.47416667,1.505555556,1,2
28212,fr,2015.07.12,0,42.47416667,1.505555556,1,42.49666667,1.498055556,0,1
28466,fr,2015.07.12,0,42.55361111,1.588888889,4,42.55361111,1.588888889,4,2
28467,fr,2015.07.12,0,42.55361111,1.588888889,4,42.55333333,1.589166667,4,1
28474,fr,2015.07.12,0,42.55361111,1.588888889,4,42.56805556,1.600277778,4,1
28785,fr,2015.07.12,0,42.55333333,1.589166667,4,42.57888889,1.631111111,5,4
28796,fr,2015.07.12,0,42.55333333,1.589166667,4,42.55361111,1.588888889,4,2
28797,fr,2015.07.12,0,42.55333333,1.589166667,4,42.55333333,1.589166667,4,238
28804,fr,2015.07.12,0,42.55333333,1.589166667,4,42.56805556,1.600277778,4,2
29459,fr,2015.07.12,0,42.56444444,1.526944444,3,42.56444444,1.526944444,3,5
30452,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50083333,1.531111111,0,4
30659,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50833333,1.523611111,0,1
30765,fr,2015.07.12,0,42.56805556,1.600277778,4,42.57888889,1.631111111,5,1
30783,fr,2015.07.12,0,42.56805556,1.600277778,4,42.56805556,1.600277778,4,6
31113,fr,2015.07.12,0,42.56805556,1.600277778,4,42.56805556,1.600277778,4,1
31114,fr,2015.07.12,0,42.56805556,1.600277778,4,42.56805556,1.600277778,4,6
31445,fr,2015.07.12,0,42.62111111,1.538333333,3,42.62111111,1.538333333,3,3
31692,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50777778,1.5325,0,1
31776,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
31975,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50777778,1.5325,0,1
32107,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,6
32327,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
32438,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
32656,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
32768,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
33762,fr,2015.07.12,0,42.50527778,1.517777778,0,42.50527778,1.517777778,0,2
34093,fr,2015.07.12,0,42.5075,1.522777778,0,42.5075,1.522777778,0,2
34755,fr,2015.07.12,0,42.5075,1.522777778,0,42.5075,1.522777778,0,1
35001,fr,2015.07.12,0,42.5075,1.522777778,0,42.50833333,1.523611111,0,1
35748,fr,2015.07.12,0,42.5075,1.522777778,0,42.5075,1.522777778,0,1
36079,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,1
36410,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,1
36580,fr,2015.07.12,0,42.50611111,1.520833333,0,42.53194444,1.562777778,4,1
36622,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,1
36648,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50833333,1.523611111,0,1
36663,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50722222,1.538055556,0,1
36726,fr,2015.07.12,0,42.50611111,1.520833333,0,42.51138889,1.530555556,0,1
36741,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,226
36744,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50527778,1.546666667,4,1
36827,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50083333,1.531111111,0,1
36969,fr,2015.07.12,0,42.50611111,1.520833333,0,42.49666667,1.5125,0,2
37070,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,2
37072,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,5
37282,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,3
37404,fr,2015.07.12,0,42.51972222,1.557222222,4,42.50527778,1.546666667,4,3
37691,fr,2015.07.12,0,42.50527778,1.546666667,4,42.535,1.5875,4,1
37692,fr,2015.07.12,0,42.50527778,1.546666667,4,42.53194444,1.562777778,4,3
37733,fr,2015.07.12,0,42.50527778,1.546666667,4,42.51972222,1.557222222,4,2
37734,fr,2015.07.12,0,42.50527778,1.546666667,4,42.50527778,1.546666667,4,43
37872,fr,2015.07.12,0,42.50527778,1.546666667,4,42.51694444,1.554166667,4,1
38065,fr,2015.07.12,0,42.54666667,1.563611111,4,42.54666667,1.563611111,4,4
38105,fr,2015.07.12,0,42.54666667,1.563611111,4,42.51722222,1.567777778,0,2
38396,fr,2015.07.12,0,42.53277778,1.7,6,42.53277778,1.7,6,5
38548,fr,2015.07.12,0,42.53277778,1.7,6,42.535,1.716388889,6,1
38727,fr,2015.07.12,0,42.52583333,1.687777778,6,42.52583333,1.687777778,6,1
38877,fr,2015.07.12,0,42.52583333,1.687777778,6,42.535,1.716388889,6,1
39348,fr,2015.07.12,0,42.51694444,1.554166667,4,42.57777778,1.6625,5,1
39352,fr,2015.07.12,0,42.51694444,1.554166667,4,42.44805556,1.4825,1,1
39389,fr,2015.07.12,0,42.51694444,1.554166667,4,42.51694444,1.554166667,4,4
39720,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,44
39723,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,2
39787,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51138889,1.530555556,0,1
39961,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50722222,1.538055556,0,1
39964,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50722222,1.538055556,0,1
40051,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,20
40382,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
40777,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51138889,1.530555556,0,1
40895,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50722222,1.538055556,0,1
40934,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50777778,1.5325,0,1
40975,fr,2015.07.12,0,42.51083333,1.540277778,0,42.57916667,1.639166667,5,1
41044,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,6
41088,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50416667,1.527222222,0,2
41372,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
41375,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,11
41575,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
41706,fr,2015.07.12,0,42.44194444,1.463611111,1,42.44194444,1.463611111,1,1
42037,fr,2015.07.12,0,42.44194444,1.463611111,1,42.44194444,1.463611111,1,9
42102,fr,2015.07.12,0,42.44194444,1.463611111,1,42.46027778,1.491111111,1,1
42157,fr,2015.07.12,0,42.44194444,1.463611111,1,42.56833333,1.646666667,5,216
44023,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,1
44515,fr,2015.07.12,0,42.50777778,1.5325,0,42.50777778,1.5325,0,2
45947,fr,2015.07.12,0,42.52444444,1.520833333,2,42.52444444,1.520833333,2,1
46276,fr,2015.07.12,0,42.52444444,1.520833333,2,42.51527778,1.527222222,0,1
47333,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
47495,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,1
47511,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50611111,1.520833333,0,1
47513,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,23
47664,fr,2015.07.12,0,42.50722222,1.538055556,0,42.50722222,1.538055556,0,33
47695,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,1
47711,fr,2015.07.12,0,42.50722222,1.538055556,0,42.46027778,1.491111111,1,1
47845,fr,2015.07.12,0,42.50722222,1.538055556,0,42.51083333,1.540277778,0,1
49319,fr,2015.07.12,0,42.53861111,1.733055556,6,42.53861111,1.733055556,6,8
49447,fr,2015.07.12,0,42.53861111,1.733055556,6,42.54388889,1.730555556,6,1
49497,fr,2015.07.12,0,42.53861111,1.733055556,6,42.53861111,1.733055556,6,1
50124,fr,2015.07.12,0,42.49666667,1.5125,0,42.49666667,1.5125,0,1
51265,fr,2015.07.12,0,42.51722222,1.567777778,0,42.54666667,1.563611111,4,2
51305,fr,2015.07.12,0,42.51722222,1.567777778,0,42.51722222,1.567777778,0,1
51636,fr,2015.07.12,0,42.50944444,1.523055556,0,42.50944444,1.523055556,0,1
51809,fr,2015.07.12,0,42.50944444,1.523055556,0,42.50944444,1.523055556,0,1
53570,fr,2015.07.12,0,42.49666667,1.498055556,0,42.50611111,1.520833333,0,1
53953,fr,2015.07.12,0,42.49666667,1.498055556,0,42.49666667,1.498055556,0,1
54284,fr,2015.07.12,0,42.50944444,1.523055556,0,42.50944444,1.523055556,0,5
54420,fr,2015.07.12,0,42.50944444,1.523055556,0,42.50833333,1.523611111,0,1
54615,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50416667,1.527222222,0,13
54618,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50416667,1.527222222,0,1
54741,fr,2015.07.12,0,42.50416667,1.527222222,0,42.46027778,1.491111111,1,1
54946,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50416667,1.527222222,0,14
54948,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50416667,1.527222222,0,1
55078,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50833333,1.523611111,0,2
55274,fr,2015.07.12,0,42.50944444,1.523055556,0,42.50944444,1.523055556,0,1
55277,fr,2015.07.12,0,42.50944444,1.523055556,0,42.50944444,1.523055556,0,9
55402,fr,2015.07.12,0,42.50944444,1.523055556,0,42.49666667,1.5125,0,1
55564,fr,2015.07.12,0,42.50416667,1.527222222,0,42.51083333,1.540277778,0,1
55608,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50416667,1.527222222,0,2
55615,fr,2015.07.12,0,42.50416667,1.527222222,0,42.51083333,1.540277778,0,1
55738,fr,2015.07.12,0,42.50416667,1.527222222,0,42.50833333,1.523611111,0,2
57389,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50833333,1.523611111,0,1
57742,fr,2015.07.12,0,42.50611111,1.520833333,0,42.50611111,1.520833333,0,2
57783,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50722222,1.538055556,0,2
57861,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50611111,1.520833333,0,1
57925,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51083333,1.540277778,0,1
58003,fr,2015.07.12,0,42.51083333,1.540277778,0,42.51694444,1.554166667,4,1
58045,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50777778,1.5325,0,1
58112,fr,2015.07.12,0,42.51083333,1.540277778,0,42.50722222,1.538055556,0,1
59226,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50944444,1.523055556,0,1
59399,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50944444,1.523055556,0,1
60092,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50722222,1.538055556,0,1
60242,fr,2015.07.12,0,42.50833333,1.523611111,0,42.50833333,1.523611111,0,1
61741,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50722222,1.538055556,0,4
61830,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51083333,1.540277778,0,1
61833,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51083333,1.540277778,0,1
61854,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50722222,1.538055556,0,1
61897,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
62006,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50777778,1.5325,0,1
62009,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50833333,1.523611111,0,1
62015,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50722222,1.538055556,0,2
62228,fr,2015.07.12,0,42.51138889,1.530555556,0,42.51138889,1.530555556,0,1
62336,fr,2015.07.12,0,42.51138889,1.530555556,0,42.50777778,1.5325,0,1
63181,fr,2015.07.12,0,42.46027778,1.491111111,1,42.49666667,1.5125,0,1
63552,fr,2015.07.12,0,42.46027778,1.491111111,1,42.46027778,1.491111111,1,5
64442,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50083333,1.531111111,0,1
64804,fr,2015.07.12,0,42.50083333,1.531111111,0,42.51083333,1.540277778,0,1
65305,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50777778,1.5325,0,1
65308,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50833333,1.523611111,0,1
65309,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50833333,1.523611111,0,3
65331,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50611111,1.520833333,0,3
65483,fr,2015.07.12,0,42.50083333,1.531111111,0,42.50722222,1.538055556,0,1
66374,fr,2015.07.12,0,42.48472222,1.493611111,1,42.4875,1.490555556,1,1
69510,fr,2015.07.12,0,42.55722222,1.497777778,2,42.55722222,1.497777778,2,1
70013,fr,2015.07.12,0,42.58083333,1.4775,2,42.55722222,1.497777778,2,2
70172,fr,2015.07.12,0,42.58083333,1.4775,2,42.58083333,1.4775,2,1
70275,fr,2015.07.12,0,42.58083333,1.4775,2,42.55722222,1.497777778,2,1
72310,fr,2015.07.12,0,42.5525,1.514444444,2,42.54444444,1.516944444,2,1
72320,fr,2015.07.12,0,42.5525,1.514444444,2,42.53638889,1.516111111,2,13
72321,fr,2015.07.12,0,42.5525,1.514444444,2,42.53638889,1.516111111,2,1
72489,fr,2015.07.12,0,42.5525,1.514444444,2,42.5525,1.514444444,2,24
72578,fr,2015.07.12,0,42.5525,1.514444444,2,42.54444444,1.516944444,2,1
72651,fr,2015.07.12,0,42.54583333,1.540277778,2,42.53638889,1.516111111,2,1
72820,fr,2015.07.12,0,42.54583333,1.540277778,2,42.54583333,1.540277778,2,3
72909,fr,2015.07.12,0,42.54583333,1.540277778,2,42.54444444,1.516944444,2,2
73482,fr,2015.07.12,0,42.61972222,1.486111111,2,42.61972222,1.486111111,2,1
74806,fr,2015.07.12,0,42.59777778,1.5275,3,42.59777778,1.5275,3,2
75799,fr,2015.07.12,0,42.525,1.536111111,2,42.525,1.536111111,2,1
77454,fr,2015.07.12,0,42.55722222,1.493611111,2,42.55722222,1.493611111,2,4
78116,fr,2015.07.12,0,42.53638889,1.516111111,2,42.53638889,1.516111111,2,1
80433,fr,2015.07.12,0,42.54222222,1.734722222,6,42.54222222,1.734722222,6,2
80517,fr,2015.07.12,0,42.54222222,1.734722222,6,42.53861111,1.733055556,6,1
81426,fr,2015.07.12,0,42.55361111,1.718611111,6,42.55361111,1.718611111,6,1
81757,fr,2015.07.12,0,42.56833333,1.646666667,5,42.56833333,1.646666667,5,1
83412,fr,2015.07.12,0,42.51694444,1.554166667,4,42.51694444,1.554166667,4,1
83443,fr,2015.07.12,0,42.51694444,1.554166667,4,42.54666667,1.563611111,4,1
83742,fr,2015.07.12,0,42.51694444,1.554166667,4,42.51694444,1.554166667,4,1
83743,fr,2015.07.12,0,42.51694444,1.554166667,4,42.51694444,1.554166667,4,22
84074,fr,2015.07.12,0,42.56805556,1.600277778,4,42.56805556,1.600277778,4,1
84405,fr,2015.07.12,0,42.56805556,1.600277778,4,42.56805556,1.600277778,4,4
